time,P,G(i),H_sun,T2m,WS10m,Int
20120106:0911,385.56,229.63,6.49,2.03,3.17,0
20120106:1011,777,454.98,11.58,3.15,2.83,0
20120106:1111,1082.92,645.45,14.73,4.64,3.52,0
20120106:1211,910.72,538.2,15.66,5.78,4.07,0
20120106:1311,936.36,554.18,14.29,6.51,4.55,0
20120106:1411,667.14,393.65,10.73,6.55,4.69,0
20120106:1511,404.18,247.23,5.31,6.18,3.86,0
20120106:1611,0,0,0,5.44,3.66,0
20120106:1711,0,0,0,5.21,3.72,0
20120106:1811,0,0,0,5.36,4.07,0
20120106:1911,0,0,0,6.23,4.62,0
20120106:2011,0,0,0,6.9,4.97,0
20120106:2111,0,0,0,7.3,5.1,0
20120106:2211,0,0,0,7.63,5.1,0
20120106:2311,0,0,0,8.12,5.45,0
20120107:0011,0,0,0,8.56,5.66,0
20120107:0111,0,0,0,8.92,5.93,0
20120107:0211,0,0,0,9.33,6.21,0
20120107:0311,0,0,0,9.54,6.07,0
20120107:0411,0,0,0,9.38,6.14,0
20120107:0511,0,0,0,9.52,6.34,0
20120107:0611,0,0,0,9.36,6.07,0
20120107:0711,0,0,0,8.67,6,0
20120107:0811,0,0,0,7.99,5.72,0
20120107:0911,65.82,52.73,6.56,7.42,5.72,0
20120107:1011,44.98,39.96,11.67,7.3,6.07,0
20120107:1111,232.62,148.78,14.84,7.62,5.59,0
20120107:1211,129.06,90.71,15.79,7.97,6.48,0
20120107:1311,104.28,76.3,14.42,8.09,6.69,0
20120107:1411,131.86,92.04,10.88,8.11,6.14,0
20120107:1511,4.84,10.9,5.46,8.01,6.14,0
20120107:1611,0,0,0,7.28,5.45,0
20120107:1711,0,0,0,6.69,5.17,0
20120107:1811,0,0,0,6.33,4.97,0
20120107:1911,0,0,0,6.27,4.97,0
20120107:2011,0,0,0,6.23,4.83,0
20120107:2111,0,0,0,6.17,4.62,0
20120107:2211,0,0,0,6.1,4.55,0
20120107:2311,0,0,0,5.74,4.69,0
20120108:0011,0,0,0,5.49,4.69,0
20120108:0111,0,0,0,5.23,4.62,0
20120108:0211,0,0,0,5.23,4.69,0
20120108:0311,0,0,0,4.94,4.62,0
20120108:0411,0,0,0,4.48,4.48,0
20120108:0511,0,0,0,4.29,4.41,0
20120108:0611,0,0,0,4.5,4.28,0
20120108:0711,0,0,0,5.19,4.28,0
20120108:0811,0,0,0,4.96,4.14,0
20120108:0911,24.86,26.34,6.64,5.36,4.21,0
20120108:1011,77.12,59.63,11.76,6.04,3.52,0
20120108:1111,77.18,59.94,14.95,6.76,4.07,0
20120108:1211,92,69.02,15.92,7.53,4.97,0
20120108:1311,224.38,144.51,14.57,7.86,4.69,0
20120108:1411,70.14,55.83,11.04,8.11,4.55,0
20120108:1511,257.18,164.56,5.62,7.79,3.59,0
20120108:1611,0,0,0,7.55,3.1,0
20120108:1711,0,0,0,6.94,2.69,0
20120108:1811,0,0,0,6.1,2.69,0
20120108:1911,0,0,0,7.66,3.1,0
20120108:2011,0,0,0,8.16,3.31,0
20120108:2111,0,0,0,8.46,3.24,0
20120108:2211,0,0,0,8.13,3.24,0
20120108:2311,0,0,0,8.13,3.52,0
20120109:0011,0,0,0,7.68,3.86,0
20120109:0111,0,0,0,7.33,4.07,0
20120109:0211,0,0,0,7.16,4.14,0
20120109:0311,0,0,0,7.2,4,0
20120109:0411,0,0,0,7.16,3.79,0
20120109:0511,0,0,0,7.32,3.86,0
20120109:0611,0,0,0,7.52,3.93,0
20120109:0711,0,0,0,6.63,3.72,0
20120109:0811,0,0,0,6.48,3.79,0
20120109:0911,68.2,54.18,6.72,7.07,4.14,0
20120109:1011,7.86,13.62,11.87,8.17,4.48,0
20120109:1111,249.38,159.65,15.07,9.24,3.86,0
20120109:1211,197.68,130.83,16.06,10.03,5.45,0
20120109:1311,104.4,77.15,14.72,10.38,5.24,0
20120109:1411,96.46,72.25,11.2,10.52,4.76,0
20120109:1511,19.18,22.7,5.79,10.52,4.21,0
20120109:1611,0,0,0,10.26,3.79,0
20120109:1711,0,0,0,9.8,3.45,0
20120109:1811,0,0,0,9.4,2.83,0
20120109:1911,0,0,0,9.31,2.69,0
20120109:2011,0,0,0,9.15,2.41,0
20120109:2111,0,0,0,8.85,2.14,0
20120109:2211,0,0,0,8.44,2.07,0
20120109:2311,0,0,0,7.75,2.28,0
20120110:0011,0,0,0,7.26,2.41,0
20120110:0111,0,0,0,7.19,2.41,0
20120110:0211,0,0,0,7.43,2.34,0
20120110:0311,0,0,0,7.7,2.14,0
20120110:0411,0,0,0,7.84,2,0
20120110:0511,0,0,0,8.17,2.28,0
20120110:0611,0,0,0,8.53,2.76,0
20120110:0711,0,0,0,8.63,3.38,0
20120110:0811,0,0,0,8.49,3.38,0
20120110:0911,80.68,62.07,6.81,8.64,3.59,0
20120110:1011,99.86,73.92,11.98,8.9,3.93,0
20120110:1111,199.34,131.34,15.2,9.15,4.34,0
20120110:1211,341.72,211.32,16.2,9.3,4.97,0
20120110:1311,268.44,170.23,14.88,9.4,4.9,0
20120110:1411,202.7,133.27,11.36,9.64,4,0
20120110:1511,124.38,88.74,5.96,9.4,3.24,0
20120110:1611,0,0,0,9.33,3.24,0
20120110:1711,0,0,0,9.27,3.52,0
20120110:1811,0,0,0,9.3,3.93,0
20120110:1911,0,0,0,9.12,3.86,0
20120110:2011,0,0,0,8.76,3.86,0
20120110:2111,0,0,0,8.08,3.86,0
20120110:2211,0,0,0,7.44,3.86,0
20120110:2311,0,0,0,7.2,3.93,0
20120111:0011,0,0,0,6.82,3.86,0
20120111:0111,0,0,0,7.16,3.93,0
20120111:0211,0,0,0,7.25,4.07,0
20120111:0311,0,0,0,7.52,4.21,0
20120111:0411,0,0,0,7.75,4.21,0
20120111:0511,0,0,0,7.86,4.14,0
20120111:0611,0,0,0,7.89,4,0
20120111:0711,0,0,0,7.62,3.59,0
20120111:0811,0,0,0,7.77,3.45,0
20120111:0911,551.22,331.45,6.91,8.24,3.38,0
20120111:1011,849.74,511.52,12.09,8.85,3.17,0
20120111:1111,1074.92,656.19,15.34,9.4,3.52,0
20120111:1211,1083.16,656.19,16.36,10.24,4.97,0
20120111:1311,1022.92,620.17,15.05,10.47,4.55,0
20120111:1411,401.42,246.66,11.54,10.55,4.14,0
20120111:1511,56.92,48.09,6.13,10.43,3.52,0
20120111:1611,0,0,0,10.1,3.31,0
20120111:1711,0,0,0,9.8,3.38,0
20120111:1811,0,0,0,9.57,3.52,0
20120111:1911,0,0,0,9.5,3.86,0
20120111:2011,0,0,0,9.11,4,0
20120111:2111,0,0,0,8.68,4.21,0
20120111:2211,0,0,0,7.99,4.48,0
20120111:2311,0,0,0,7.23,4.69,0
20120112:0011,0,0,0,7.15,4.9,0
20120112:0111,0,0,0,7.42,5.1,0
20120112:0211,0,0,0,7.54,5.38,0
20120112:0311,0,0,0,7.52,5.52,0
20120112:0411,0,0,0,7.43,5.66,0
20120112:0511,0,0,0,7.51,6,0
20120112:0611,0,0,0,7.82,6.41,0
20120112:0711,0,0,0,8.7,6.69,0
20120112:0811,0,0,0,8.97,6.83,0
20120112:0911,70.76,56.22,7.02,9.46,6.76,0
20120112:1011,132.26,92.94,12.22,9.9,6.41,0
20120112:1111,763.96,454.51,15.48,10.55,6.48,0
20120112:1211,302.7,190.38,16.52,11.02,6.55,0
20120112:1311,143.94,100.54,15.22,11.2,5.72,0
20120112:1411,732.94,437.13,11.72,10.85,6.76,0
20120112:1511,395.56,244.26,6.32,9.69,5.86,0
20120112:1611,0,0,0,8.6,4.83,0
20120112:1711,0,0,0,7.62,4.07,0
20120112:1811,0,0,0,6.31,3.52,0
20120112:1911,0,0,0,5.88,3.31,0
20120112:2011,0,0,0,5.04,3.45,0
20120112:2111,0,0,0,4.42,3.45,0
20120112:2211,0,0,0,3.8,3.38,0
20120112:2311,0,0,0,3.1,3.17,0
20120113:0011,0,0,0,2.57,3.17,0
20120113:0111,0,0,0,2.24,3.17,0
20120113:0211,0,0,0,2.06,3.17,0
20120113:0311,0,0,0,1.88,3.1,0
20120113:0411,0,0,0,1.72,3.03,0
20120113:0511,0,0,0,1.52,3.03,0
20120113:0611,0,0,0,1.38,3.03,0
20120113:0711,0,0,0,1.18,2.97,0
20120113:0811,0,0,0,0.97,2.9,0
20120113:0911,86.6,63.82,7.13,1.16,2.69,0
20120113:1011,394.06,234.86,12.35,2.47,2.55,0
20120113:1111,983.72,582.93,15.64,3.62,2.9,0
20120113:1211,925.6,548.76,16.69,4.36,2.9,0
20120113:1311,1053.48,631.63,15.4,4.76,2.83,0
20120113:1411,811.92,481.63,11.9,4.89,2.69,0
20120113:1511,430.78,261.65,6.5,4.54,2,0
20120113:1611,0,0,0,3.53,2,0
20120113:1711,0,0,0,2.09,2.28,0
20120113:1811,0,0,0,1.1,2.28,0
20120113:1911,0,0,0,0.83,2.28,0
20120113:2011,0,0,0,0.2,2.21,0
20120113:2111,0,0,0,-0.42,2.07,0
20120113:2211,0,0,0,-1.02,2,0
20120113:2311,0,0,0,-1.62,1.93,0
20120114:0011,0,0,0,-2.18,1.86,0
20120114:0111,0,0,0,-2.67,1.79,0
20120114:0211,0,0,0,-2.98,1.79,0
20120114:0311,0,0,0,-3.19,1.79,0
20120114:0411,0,0,0,-3.32,1.79,0
20120114:0511,0,0,0,-3.4,1.72,0
20120114:0611,0,0,0,-3.57,1.52,0
20120114:0711,0,0,0,-2.3,0.97,0
20120114:0811,0,0,0,-2.03,0.97,0
20120114:0911,516.42,301.23,7.25,-1.91,0.76,0
20120114:1011,884.36,520,12.49,-1.32,0.69,0
20120114:1111,1090.26,658.4,15.79,-0.43,0.55,0
20120114:1211,1102.64,670.96,16.86,0.4,0.48,0
20120114:1311,1077.32,654.46,15.59,0.88,0.55,0
20120114:1411,789.44,467.64,12.1,1.19,0.76,0
20120114:1511,436.56,262.14,6.7,1.18,1.03,0
20120114:1611,0,0,0,0.92,1.45,0
20120114:1711,0,0,0,0.67,1.79,0
20120114:1811,0,0,0,0.58,2.14,0
20120114:1911,0,0,0,0.22,2,0
20120114:2011,0,0,0,-0.1,2.07,0
20120114:2111,0,0,0,-0.48,2,0
20120114:2211,0,0,0,-0.84,2,0
20120114:2311,0,0,0,-1.2,1.93,0
20120115:0011,0,0,0,-1.37,1.86,0
