time,P,G(i),H_sun,T2m,WS10m,Int
20120521:1911,21.2,24.5,4.88,13.95,5.52,0
20120521:2011,0,0,0,12.84,5.03,0
20120521:2111,0,0,0,11.9,4.97,0
20120521:2211,0,0,0,11.03,4.9,0
20120521:2311,0,0,0,10.34,4.9,0
20120522:0011,0,0,0,10.05,5.03,0
20120522:0111,0,0,0,9.87,5.17,0
20120522:0211,0,0,0,9.46,5.1,0
20120522:0311,0,0,0,9.17,5.17,0
20120522:0411,0,0,0,9.09,5.17,0
20120522:0511,31.42,31.25,9.23,9.26,5.03,0
20120522:0611,121.8,87.78,18.13,10.25,4.69,0
20120522:0711,182.2,123.51,27.36,11.69,6.41,0
20120522:0811,594.36,365.07,36.54,13.2,6.48,0
20120522:0911,1240.98,774.86,45.16,15.08,6.55,0
20120522:1011,1433.98,921.35,52.49,17.09,6.34,0
20120522:1111,1542.9,1015.01,57.35,18.9,6.14,0
20120522:1211,1539,1020.37,58.43,20.15,6.07,0
20120522:1311,1453.52,959.61,55.35,21.11,6.07,0
20120522:1411,1224.24,793.7,49.1,21.38,6,0
20120522:1511,789.2,503.98,41.01,21.52,5.86,0
20120522:1611,637,416.16,32.04,21.29,5.52,0
20120522:1711,275.46,212.01,22.79,20.8,4.55,0
20120522:1811,92,72.64,13.68,20.07,4.14,0
20120522:1911,20.64,24.5,5.05,18.65,3.59,0
20120522:2011,0,0,0,16.6,3.31,0
20120522:2111,0,0,0,14.92,3.24,0
20120522:2211,0,0,0,13.68,3.31,0
20120522:2311,0,0,0,12.81,3.45,0
20120523:0011,0,0,0,12.14,3.59,0
20120523:0111,0,0,0,11.6,3.52,0
20120523:0211,0,0,0,11.12,3.45,0
20120523:0311,0,0,0,10.63,3.31,0
20120523:0411,0,0,0,10.26,3.17,0
20120523:0511,47.66,42.24,9.37,10.39,3.03,0
20120523:0611,144.62,102.25,18.27,11.26,3.66,0
20120523:0711,291.54,189.27,27.5,13.07,3.86,0
20120523:0811,402.96,256.34,36.67,14.81,3.72,0
20120523:0911,657.36,414.45,45.31,16.44,3.45,0
20120523:1011,1053.22,682.6,52.66,18.05,3.17,0
20120523:1111,1189.28,790.56,57.54,19.64,2.97,0
20120523:1211,1362.32,931,58.63,20.59,2.83,0
20120523:1311,1314.8,899,55.54,21.63,2.69,0
20120523:1411,1160.16,782.74,49.27,22.4,2.48,0
20120523:1511,862.56,568.12,41.18,22.64,2.55,0
20120523:1611,610.24,406.94,32.2,22.68,2.69,0
20120523:1711,275.5,207.63,22.95,22.34,2.62,0
20120523:1811,104.26,81.09,13.84,21.93,2.62,0
20120523:1911,19.24,23.65,5.22,21.01,2.07,0
20120523:2011,0,0,0,19.21,2.41,0
20120523:2111,0,0,0,17.7,2.28,0
20120523:2211,0,0,0,16.29,2.07,0
20120523:2311,0,0,0,15.23,1.93,0
20120524:0011,0,0,0,14.31,1.86,0
20120524:0111,0,0,0,13.54,1.93,0
20120524:0211,0,0,0,12.86,2.07,0
20120524:0311,0,0,0,12.21,2.21,0
20120524:0411,0,0,0,11.63,2.21,0
20120524:0511,47.32,42.24,9.5,11.69,2.21,0
20120524:0611,144.84,103.14,18.4,12.7,2.41,0
20120524:0711,286.44,187.29,27.62,13.7,2.69,0
20120524:0811,406.06,260.16,36.8,15.5,2.48,0
20120524:0911,560.12,358.27,45.45,17.35,2.14,0
20120524:1011,856.02,556.16,52.81,18.88,2.07,0
20120524:1111,1389.2,960.63,57.71,20.24,2.28,0
20120524:1211,1423.88,992.76,58.81,21.47,2.48,0
20120524:1311,1330.9,916.59,55.72,22.32,2.62,0
20120524:1411,1173.76,792.8,49.44,22.92,2.69,0
20120524:1511,921,609.02,41.34,23.32,2.83,0
20120524:1611,616.08,411.75,32.35,23.37,2.97,0
20120524:1711,272.58,211.44,23.1,23.05,2.97,0
20120524:1811,98.72,77.71,14,22.37,2.62,0
20120524:1911,18.12,22.81,5.38,21.43,2.07,0
20120524:2011,0,0,0,19.52,2.55,0
20120524:2111,0,0,0,17.98,2.83,0
20120524:2211,0,0,0,16.8,2.9,0
20120524:2311,0,0,0,15.73,2.83,0
20120525:0011,0,0,0,14.82,2.83,0
20120525:0111,0,0,0,14.12,2.9,0
20120525:0211,0,0,0,13.73,2.9,0
20120525:0311,0,0,0,13.44,2.97,0
20120525:0411,0,0.84,1.42,13.36,3.1,0
20120525:0511,65.1,54.06,9.63,13.82,3.31,0
20120525:0611,235.36,184.86,18.52,15.16,3.38,0
20120525:0711,632.82,409.34,27.75,16.69,4.28,0
20120525:0811,981.06,620.51,36.93,17.69,4.97,0
20120525:0911,1273.5,819.29,45.59,18.42,5.38,0
20120525:1011,1449.32,950.04,52.97,18.99,5.59,0
20120525:1111,1567.9,1044.01,57.89,19.49,5.66,0
20120525:1211,1558.68,1037.72,59,19.89,5.79,0
20120525:1311,1488.62,981.36,55.9,20.1,6,0
20120525:1411,1330.1,861.93,49.61,20.17,6.14,0
20120525:1511,1029.16,655.44,41.49,20.16,6.14,0
20120525:1611,697.88,453.09,32.51,19.86,6,0
20120525:1711,282.26,220.47,23.25,19.23,5.59,0
20120525:1811,78.22,63.35,14.15,18.3,5.86,0
20120525:1911,26.56,28.72,5.54,17.13,6.14,0
20120525:2011,0,0,0,16.16,5.93,0
20120525:2111,0,0,0,15.6,5.79,0
20120525:2211,0,0,0,15.12,5.59,0
20120525:2311,0,0,0,14.58,5.31,0
20120526:0011,0,0,0,14.04,4.97,0
20120526:0111,0,0,0,13.53,4.62,0
20120526:0211,0,0,0,13.11,4.41,0
20120526:0311,0,0,0,12.78,4.28,0
20120526:0411,0,2.53,1.55,12.54,4.14,0
20120526:0511,53.56,46.46,9.76,12.93,4.07,0
20120526:0611,239.2,189.5,18.64,14.32,3.66,0
20120526:0711,635.08,409.89,27.86,16.33,4.34,0
20120526:0811,997.24,633.99,37.05,17.98,4.62,0
20120526:0911,1274.68,827.66,45.72,19.28,4.97,0
20120526:1011,1455.66,963.84,53.11,20.19,5.38,0
20120526:1111,1571.12,1053.75,58.05,20.76,5.72,0
20120526:1211,0,0,0,21.08,5.86,0
20120526:1311,1498,996.78,56.07,21.24,5.86,0
20120526:1411,1328.52,870.92,49.77,21.26,5.59,0
20120526:1511,1034.48,665.74,41.65,21.07,5.38,0
20120526:1611,702.54,459.85,32.65,20.59,5.03,0
20120526:1711,284.18,223.7,23.4,19.83,4.55,0
20120526:1811,83.24,66.73,14.3,18.83,4.21,0
20120526:1911,27.68,29.56,5.7,17.35,3.86,0
20120526:2011,0,0,0,15.77,3.93,0
20120526:2111,0,0,0,14.75,3.79,0
20120526:2211,0,0,0,14.15,3.66,0
20120526:2311,0,0,0,13.78,3.59,0
20120527:0011,0,0,0,13.49,3.52,0
20120527:0111,0,0,0,13.25,3.38,0
20120527:0211,0,0,0,13.03,3.31,0
20120527:0311,0,0,0,12.78,3.31,0
20120527:0411,0,4.22,1.68,12.47,3.24,0
20120527:0511,54.86,47.3,9.88,12.81,3.1,0
20120527:0611,239.18,189.91,18.75,14.32,2.76,0
20120527:0711,630.5,409.33,27.97,16.4,3.31,0
20120527:0811,978.22,626.69,37.16,17.99,3.59,0
20120527:0911,1250.86,822.12,45.84,19.29,3.72,0
20120527:1011,1430.32,964.22,53.25,20.37,3.93,0
20120527:1111,1521.66,1041.61,58.21,21.28,4.14,0
20120527:1211,1518.04,1040.61,59.35,21.94,4.28,0
20120527:1311,1451.04,985.31,56.24,22.34,4.41,0
20120527:1411,1293.72,861.4,49.93,22.43,4.48,0
20120527:1511,1016.54,662.3,41.79,22.27,4.48,0
20120527:1611,690.6,456.72,32.8,21.9,4.21,0
20120527:1711,282.48,223.83,23.55,21.24,3.66,0
20120527:1811,77.28,63.35,14.45,20.25,3.24,0
20120527:1911,28.64,30.41,5.85,18.69,2.62,0
20120527:2011,0,0,0,16.78,2.76,0
20120527:2111,0,0,0,15.27,2.76,0
20120527:2211,0,0,0,14.15,2.62,0
20120527:2311,0,0,0,13.23,2.34,0
20120528:0011,0,0,0,12.38,2,0
20120528:0111,0,0,0,11.42,1.66,0
20120528:0211,0,0,0,10.89,1.31,0
20120528:0311,0,0,0,10.02,1.59,0
20120528:0411,0,2.53,1.8,9.36,1.79,0
20120528:0511,66.32,54.06,9.99,9.84,1.45,0
20120528:0611,238.88,184.22,18.86,12.99,1.24,0
20120528:0711,601.96,394.88,28.08,15.48,0.97,0
20120528:0811,924.52,609.67,37.27,17.64,0.69,0
20120528:0911,1167.24,804.84,45.96,19.39,0.48,0
20120528:1011,1311.96,943.99,53.38,20.84,0.34,0
20120528:1111,1386.1,1026.25,58.36,21.95,0.28,0
20120528:1211,1389.56,1025.44,59.51,22.83,0.55,0
20120528:1311,1255.26,886.82,56.4,23.31,1.24,0
20120528:1411,1030.48,698.69,50.08,23.18,1.66,0
20120528:1511,66.68,57.21,41.94,23.24,1.79,0
20120528:1611,101.78,79.92,32.94,23.03,2.07,0
20120528:1711,289.88,209.28,23.69,21.93,2.48,0
20120528:1811,101.9,79.4,14.59,21.16,2,0
20120528:1911,29.46,31.25,6,20.77,1.93,0
20120528:2011,0,0,0,19.41,2.41,0
20120528:2111,0,0,0,18,2.69,0
20120528:2211,0,0,0,17.03,2.9,0
20120528:2311,0,0,0,16.37,3.1,0
20120529:0011,0,0,0,15.65,3.17,0
20120529:0111,0,0,0,15.07,3.17,0
20120529:0211,0,0,0,14.3,3.03,0
20120529:0311,0,0,0,13.65,2.97,0
20120529:0411,0,3.38,1.92,13.09,3.03,0
20120529:0511,70.68,57.44,10.1,13.13,3.1,0
20120529:0611,217.94,152.55,18.96,13.8,3.72,0
20120529:0711,418.4,267.44,28.18,14.37,3.79,0
20120529:0811,592.84,371.59,37.37,15.14,3.66,0
20120529:0911,757.86,478.44,46.07,16.3,3.24,0
20120529:1011,886.92,569.46,53.51,17.38,2.69,0
20120529:1111,879.98,570.08,58.51,18.26,2.34,0
20120529:1211,761.86,494.1,59.67,19.1,2.07,0
20120529:1311,654.88,424.46,56.56,19.44,1.93,0
20120529:1411,673.3,435.21,50.23,19.3,2.07,0
20120529:1511,509.12,329.4,42.08,19.13,2.14,0
20120529:1611,551.48,359.27,33.08,18.7,2.34,0
20120529:1711,295.98,215.35,23.82,18.7,2.07,0
20120529:1811,119.94,89.54,14.73,17.95,2.14,0
20120529:1911,19.76,23.65,6.14,16.45,2.97,0
20120529:2011,0,0,0,15.08,2.97,0
20120529:2111,0,0,0,14.22,2.9,0
20120529:2211,0,0,0,13.71,2.62,0
20120529:2311,0,0,0,13.26,2.41,0
20120530:0011,0,0,0,13.01,2.34,0
20120530:0111,0,0,0,12.66,2.28,0
20120530:0211,0,0,0,12.55,2.07,0
20120530:0311,0,0,0,12.21,2,0
20120530:0411,0,1.69,2.03,11.98,1.93,0
20120530:0511,74.94,59.97,10.2,12.26,1.79,0
20120530:0611,233.04,166.68,19.06,13.56,2,0
20120530:0711,413.38,266.12,28.27,14.66,2.34,0
20120530:0811,858.68,550.86,37.47,16.72,2.07,0
20120530:0911,1186.28,786.52,46.17,18.41,2.28,0
20120530:1011,1353.26,916.84,53.63,19.77,2.83,0
20120530:1111,1425.18,977.82,58.65,20.76,3.1,0
20120530:1211,758.32,493.84,59.82,21.53,3.03,0
20120530:1311,1017.38,673.84,56.71,21.77,2.9,0
20120530:1411,1143.28,767.51,50.38,22.21,2.69,0
20120530:1511,614.46,401.89,42.22,21.95,2.14,0
20120530:1611,144.4,105.35,33.21,20.08,3.03,0
20120530:1711,38.28,37.23,23.96,18.88,2.55,0
20120530:1811,109.86,83.63,14.87,18.92,2.14,0
20120530:1911,32.12,32.94,6.28,18.97,1.93,0
20120530:2011,0,0,0,17.59,2.07,0
20120530:2111,0,0,0,16.55,1.79,0
20120530:2211,0,0,0,15.63,1.86,0
20120530:2311,0,0,0,14.8,2.28,0
20120531:0011,0,0,0,14.35,2.41,0
20120531:0111,0,0,0,14.29,2.69,0
20120531:0211,0,0,0,13.92,2.83,0
20120531:0311,0,0,0,13.68,3.03,0
20120531:0411,0.82,6.76,2.13,13.33,3.31,0
20120531:0511,71.98,58.28,10.29,13.26,3.24,0
20120531:0611,118.3,86.84,19.15,13.26,3.45,0
20120531:0711,184.36,126.23,28.36,13.84,4.07,0
20120531:0811,519.76,324.61,37.56,14.22,4.48,0
20120531:0911,802.36,497.79,46.27,14.43,4.62,0
20120531:1011,716.82,446.23,53.74,15.36,5.17,0
20120531:1111,560.92,352.24,58.78,16.22,5.52,0
20120531:1211,569.38,357.83,59.97,16.42,5.45,0
20120531:1311,367.76,236.12,56.86,16.24,5.66,0
20120531:1411,143.32,102.62,50.52,15.94,5.38,0
20120531:1511,250.38,166.19,42.35,15.66,5.03,0
20120531:1611,367.98,236.57,33.34,15.52,4.41,0
20120531:1711,210.26,143.75,24.09,15.68,3.38,0
20120531:1811,52.7,46.46,15,16.03,3.93,0
20120531:1911,30.34,31.25,6.42,15.57,3.86,0
20120531:2011,0,0,0,15.26,3.24,0
20120531:2111,0,0,0,15.05,2.76,0
20120531:2211,0,0,0,14.83,2.41,0
20120531:2311,0,0,0,14.57,2.28,0
20120601:0011,0,0,0,14.35,2.21,0
20120601:0111,0,0,0,14.2,2.28,0
20120601:0211,0,0,0,13.95,2.21,0
20120601:0311,0,0,0,13.72,2.34,0
20120601:0411,0,1.69,2.23,13.45,2.34,0
20120601:0511,59.88,50.68,10.38,13.4,2.14,0
20120601:0611,230.42,163.61,19.23,13.71,2.83,0
20120601:0711,439.66,281.67,28.44,14.48,2.97,0
20120601:0811,667.02,418.82,37.64,14.91,2.9,0
20120601:0911,788.12,497.96,46.36,15.71,2.83,0
20120601:1011,182.7,127.14,53.85,16.86,2.69,0
20120601:1111,201.5,138.95,58.91,17.62,2.55,0
20120601:1211,313.52,207.06,60.11,18.07,2.55,0
20120601:1311,206.84,142.58,57,18.29,2.55,0
20120601:1411,220.32,150.76,50.65,18.23,2.41,0
20120601:1511,172.34,121.69,42.48,18.16,2.07,0
20120601:1611,182.78,128.05,33.47,18.07,1.86,0
20120601:1711,74.3,60.85,24.21,17.71,2.14,0
20120601:1811,34.96,34.63,15.13,16.69,2.69,0
20120601:1911,6.48,12.67,6.55,14.3,3.66,0
20120601:2011,0,0,0,13.23,3.52,0
20120601:2111,0,0,0,12.47,3.45,0
20120601:2211,0,0,0,11.97,3.31,0
20120601:2311,0,0,0,11.69,3.31,0
20120602:0011,0,0,0,11.48,3.31,0
20120602:0111,0,0,0,11.37,3.45,0
20120602:0211,0,0,0,11.26,3.52,0
20120602:0311,0,0,0,11.09,3.52,0
20120602:0411,0,0.84,2.32,10.92,3.52,0
20120602:0511,19.28,22.81,10.46,10.76,3.86,0
20120602:0611,99.48,74.47,19.31,10.72,4.14,0
20120602:0711,153,106.26,28.51,10.64,3.72,0
20120602:0811,176.22,119.88,37.72,10.83,4.21,0
20120602:0911,186.96,126.23,46.45,11.08,4.48,0
20120602:1011,216.58,143.49,53.95,11.2,4.76,0
20120602:1111,335.1,212.51,59.03,11.62,5.17,0
20120602:1211,454.18,282.6,60.25,11.95,5.17,0
20120602:1311,739.9,454.6,57.14,12.66,5.38,0
20120602:1411,1131,702.41,50.78,12.99,5.31,0
20120602:1511,620,383.12,42.6,13.48,5.17,0
20120602:1611,650.2,409.02,33.59,13.65,4.97,0
20120602:1711,273.52,182.45,24.33,13.41,4.62,0
20120602:1811,76.3,60.82,15.25,12.73,4.21,0
20120602:1911,10.5,16.05,6.68,12.1,4.48,0
20120602:2011,0,0,0,11.67,4.9,0
20120602:2111,0,0,0,11.31,5.24,0
20120602:2211,0,0,0,10.66,5.17,0
20120602:2311,0,0,0,10.28,5.17,0
20120603:0011,0,0,0,10.38,5.45,0
20120603:0111,0,0,0,10.5,5.72,0
20120603:0211,0,0,0,10.56,6,0
20120603:0311,0,0,0,10.48,5.79,0
20120603:0411,3.96,10.14,2.4,10.31,5.72,0
20120603:0511,75.96,59.97,10.54,10.25,5.59,0
20120603:0611,71.46,57.21,19.38,10.29,5.17,0
20120603:0711,75.88,59.94,28.58,10.21,4.62,0
20120603:0811,145.56,101.71,37.79,10.39,4.34,0
20120603:0911,117.82,85.37,46.53,10.63,4.9,0
20120603:1011,134.48,95.36,54.05,10.93,4.83,0
20120603:1111,145.16,101.71,59.14,11.04,4.62,0
20120603:1211,171.46,117.15,60.38,11.01,4.41,0
20120603:1311,188.46,127.14,57.27,11.2,4.62,0
20120603:1411,143.52,100.81,50.91,11.14,4.55,0
20120603:1511,126.68,90.82,42.73,11.05,4.48,0
20120603:1611,81.5,63.57,33.71,10.96,4.62,0
20120603:1711,78.58,61.76,24.45,10.84,4.62,0
20120603:1811,123.4,88.69,15.37,10.58,4.69,0
20120603:1911,20.54,23.65,6.8,9.89,5.1,0
20120603:2011,0,0,0,9.62,5.17,0
20120603:2111,0,0,0,9.48,5.03,0
20120603:2211,0,0,0,9.47,5.03,0
20120603:2311,0,0,0,9.43,5.24,0
20120604:0011,0,0,0,9.31,5.38,0
20120604:0111,0,0,0,9.09,5.66,0
20120604:0211,0,0,0,8.76,6.07,0
20120604:0311,0,0,0,8.35,6.41,0
20120604:0411,1.6,7.6,2.48,7.91,6.55,0
20120604:0511,32.98,32.1,10.61,7.53,6.48,0
20120604:0611,140,97.35,19.44,7.24,6.07,0
20120604:0711,368.92,229.04,28.65,7.43,4.9,0
20120604:0811,484.34,294.81,37.86,8.05,4.9,0
20120604:0911,491.36,300.32,46.6,9.01,4.97,0
20120604:1011,627.36,382.65,54.13,10.42,5.1,0
20120604:1111,174.54,118.97,59.25,11.14,4.83,0
20120604:1211,341.26,216.14,60.5,11.53,4.9,0
20120604:1311,1170.74,730.28,57.39,11.86,4.76,0
20120604:1411,842.24,518.53,51.03,12.28,4.62,0
20120604:1511,998.22,618.37,42.84,12.43,4.41,0
20120604:1611,480.04,300.85,33.82,12.24,3.86,0
20120604:1711,166.14,114.93,24.57,12.34,3.45,0
20120604:1811,136.44,97.14,15.49,11.82,2.48,0
20120604:1911,39.74,37.17,6.92,11.25,2.07,0
20120604:2011,0,0,0,10,1.86,0
20120604:2111,0,0,0,8.63,1.66,0
20120604:2211,0,0,0,7.19,1.59,0
20120604:2311,0,0,0,6.63,1.86,0
20120605:0011,0,0,0,6.35,2.07,0
20120605:0111,0,0,0,6.18,2.07,0
20120605:0211,0,0,0,6.48,2.21,0
20120605:0311,0,0,0,6.67,2.21,0
20120605:0411,0,1.69,2.55,7,2.34,0
20120605:0511,41.74,38.01,10.68,7.98,2.34,0
20120605:0611,169.14,116.36,19.5,9.28,2.41,0
20120605:0711,408.14,256.89,28.7,10.25,2.9,0
20120605:0811,445.34,277.36,37.92,11.22,3.59,0
20120605:0911,680.32,419.29,46.67,12.65,4.41,0
20120605:1011,602.64,372.81,54.21,13.19,5.03,0
20120605:1111,223.6,148.94,59.35,13.59,5.38,0
20120605:1211,897.2,554.23,60.61,13.3,5.45,0
20120605:1311,597.42,369.54,57.51,12.87,4.9,0
20120605:1411,407.18,255.92,51.14,13.09,5.66,0
20120605:1511,295.98,190.71,42.95,12.77,5.17,0
20120605:1611,241.4,158.86,33.93,12.33,4.07,0
20120605:1711,80.9,63.57,24.68,12.28,3.79,0
20120605:1811,20.28,23.65,15.6,12.04,4.48,0
20120605:1911,18.08,21.96,7.04,11.46,4.21,0
20120605:2011,0,0,0,11.37,4.41,0
20120605:2111,0,0,0,11.49,4.55,0
20120605:2211,0,0,0,11.68,4.9,0
20120605:2311,0,0,0,11.84,4.9,0
20120606:0011,0,0,0,11.95,4.41,0
20120606:0111,0,0,0,12.08,3.79,0
20120606:0211,0,0,0,12.15,3.03,0
20120606:0311,0,0,0,12.18,2.55,0
20120606:0411,2.28,8.45,2.62,12.14,2.9,0
20120606:0511,80.58,63.35,10.74,12.07,3.45,0
20120606:0611,211.36,145.31,19.56,12.14,3.31,0
20120606:0711,414.3,262.29,28.76,12.73,4.48,0
20120606:0811,941.26,585.9,37.97,13.86,4.34,0
20120606:0911,1060.24,666.33,46.73,14.76,4.41,0
20120606:1011,872.54,546.23,54.29,15.89,4.97,0
20120606:1111,1398.22,907.28,59.44,16.76,5.24,0
20120606:1211,562.72,355.55,60.72,17.47,5.52,0
20120606:1311,915.62,578.57,57.62,17.72,5.31,0
20120606:1411,223.72,149.85,51.25,15.27,6.69,0
20120606:1511,634.66,395.26,43.06,15.55,5.59,0
20120606:1611,579.42,365.4,34.04,15.2,5.38,0
20120606:1711,244.52,164.33,24.78,15.68,5.45,0
20120606:1811,134.22,97.14,15.71,15.84,5.03,0
20120606:1911,40.28,38.01,7.15,14.92,4.28,0
20120606:2011,0,0,0,14.07,4,0
20120606:2111,0,0,0,13.56,4.21,0
20120606:2211,0,0,0,13.08,4.14,0
20120606:2311,0,0,0,12.64,3.66,0
20120607:0011,0,0,0,11.96,3.31,0
20120607:0111,0,0,0,11.55,3.17,0
20120607:0211,0,0,0,11.09,3.1,0
20120607:0311,0,0,0,10.92,3.03,0
20120607:0411,0,1.69,2.68,11.17,3.03,0
20120607:0511,3.92,10.14,10.79,11.57,3.1,0
20120607:0611,52.2,45.41,19.61,11.83,3.1,0
20120607:0711,144.9,102.62,28.8,13.66,5.03,0
20120607:0811,719.26,444.57,38.02,14.06,5.03,0
20120607:0911,919.38,570.88,46.78,14.8,5.24,0
20120607:1011,608.8,381.85,54.36,16.44,5.31,0
20120607:1111,243.66,163.47,59.53,17.69,5.79,0
20120607:1211,160.46,113.52,60.82,17.55,6.76,0
20120607:1311,150.78,107.16,57.73,16.03,5.17,0
20120607:1411,106.14,79.92,51.36,15.4,4.9,0
20120607:1511,119.6,88.09,43.17,15.36,5.17,0
20120607:1611,165.2,115.34,34.14,15.19,5.66,0
20120607:1711,309.4,209.24,24.89,14.92,6,0
20120607:1811,130.84,94.61,15.81,14.87,6.62,0
20120607:1911,35.56,34.63,7.25,13.81,7.17,0
20120607:2011,0,0,0,12.95,6.55,0
20120607:2111,0,0,0,12.53,6.55,0
20120607:2211,0,0,0,12.49,6.97,0
20120607:2311,0,0,0,12.6,7.52,0
20120608:0011,0,0,0,12.69,8,0
20120608:0111,0,0,0,12.71,8.48,0
20120608:0211,0,0,0,12.57,8.9,0
20120608:0311,0,0,0,12.27,9.17,0
20120608:0411,0,1.69,2.74,12.14,9.24,0
20120608:0511,3.9,10.14,10.84,12.04,9.86,0
20120608:0611,19.02,22.7,19.65,12.24,9.93,0
20120608:0711,100.5,75.38,28.84,12.46,10,0
20120608:0811,230.56,151.66,38.06,12.61,10,0
20120608:0911,330.36,210.07,46.83,13.38,9.03,0
20120608:1011,364.16,230.67,54.42,14.51,9.66,0
20120608:1111,330.1,211.6,59.61,15.49,10.28,0
20120608:1211,438.22,273.13,60.92,14.09,10.28,0
20120608:1311,315.98,202.52,57.83,14.39,9.66,0
20120608:1411,331.38,211.6,51.46,14.57,9.79,0
20120608:1511,575.66,352.84,43.26,13.62,9.24,0
20120608:1611,606.72,375.37,34.24,13.93,9.93,0
20120608:1711,320,214.42,24.98,13.63,8.76,0
20120608:1811,133.5,95.45,15.91,13.23,8.41,0
20120608:1911,21.4,24.5,7.35,12.51,8.28,0
20120608:2011,0,0,0,11.76,7.86,0
20120608:2111,0,0,0,11.23,7.66,0
20120608:2211,0,0,0,10.89,7.59,0
20120608:2311,0,0,0,10.6,7.52,0
20120609:0011,0,0,0,10.49,7.45,0
20120609:0111,0,0,0,10.49,7.52,0
20120609:0211,0,0,0,10.3,7.38,0
20120609:0311,0,0,0,10.13,7.24,0
20120609:0411,3.12,9.29,2.78,10.18,7.1,0
20120609:0511,18.22,21.96,10.88,10.12,6.9,0
20120609:0611,104.3,77.19,19.69,10.46,5.86,0
20120609:0711,200.5,133.5,28.88,10.9,8.41,0
20120609:0811,501.36,307.01,38.1,11.68,8.34,0
20120609:0911,288.7,185.27,46.87,12.16,7.72,0
20120609:1011,150.26,105.35,54.47,13.09,7.59,0
20120609:1111,199.68,134.41,59.68,13.15,7.1,0
20120609:1211,393,247.02,61.01,13.27,7.38,0
20120609:1311,690.98,424.03,57.93,13.53,7.03,0
20120609:1411,844.76,518.19,51.56,13.91,6.9,0
20120609:1511,932.14,575.03,43.36,14.15,6.07,0
20120609:1611,621.82,390.62,34.33,14.31,5.31,0
20120609:1711,316.56,234.06,25.08,14.33,4.9,0
20120609:1811,112.74,83.63,16,14.2,3.93,0
20120609:1911,36.68,35.48,7.45,14.14,3.17,0
20120609:2011,0,0,0,12.82,2.55,0
20120609:2111,0,0,0,11.33,2.69,0
20120609:2211,0,0,0,10.36,2.9,0
20120609:2311,0,0,0,9.68,2.9,0
20120610:0011,0,0,0,9.15,2.69,0
20120610:0111,0,0,0,8.51,2.41,0
20120610:0211,0,0,0,7.81,1.93,0
20120610:0311,0,0,0,6.92,1.72,0
20120610:0411,6.84,12.67,2.83,6.41,1.59,0
20120610:0511,78.24,60.82,10.91,7.09,1.1,0
20120610:0611,248.02,177.15,19.72,9.75,0.76,0
20120610:0711,597.28,386.15,28.91,11.36,0.34,0
20120610:0811,981.54,633.78,38.13,12.98,0.83,0
20120610:0911,1084.64,703.87,46.91,14.28,1.59,0
20120610:1011,1148.3,748.76,54.52,15.16,2.21,0
20120610:1111,933.8,597.09,59.75,15.4,2.55,0
20120610:1211,642.58,406.48,61.09,15.5,2.76,0
20120610:1311,434.1,277.9,58.02,15.46,2.28,0
20120610:1411,570.64,362.7,51.65,15.45,1.93,0
20120610:1511,497.44,316.73,43.45,15.44,2.07,0
20120610:1611,369.08,238.29,34.42,15.45,2.69,0
20120610:1711,226.16,152.84,25.16,14.96,2.9,0
20120610:1811,32.96,32.94,16.09,14.28,2.76,0
20120610:1911,6.52,12.67,7.54,13.38,2.41,0
20120610:2011,0,0,0,12.79,2.55,0
20120610:2111,0,0,0,12.31,2.97,0
20120610:2211,0,0,0,11.71,3.24,0
20120610:2311,0,0,0,11.4,3.38,0
20120611:0011,0,0,0,11.17,3.79,0
20120611:0111,0,0,0,11.01,4.07,0
20120611:0211,0,0,0,10.86,4.48,0
20120611:0311,0,0,0,10.74,5.03,0
20120611:0411,6.66,12.67,2.86,10.64,5.52,0
20120611:0511,4.82,10.98,10.94,10.6,5.59,0
20120611:0611,19.16,22.7,19.74,10.75,5.59,0
20120611:0711,81.56,63.57,28.93,10.84,4.9,0
20120611:0811,75.62,59.94,38.15,10.92,4.9,0
20120611:0911,134.46,95.36,46.94,11.04,5.17,0
20120611:1011,173.12,118.06,54.56,11.17,5.52,0
20120611:1111,169.92,116.25,59.81,11.27,5.52,0
20120611:1211,194.3,130.78,61.17,11.73,5.03,0
20120611:1311,178.88,121.69,58.11,11.65,5.24,0
20120611:1411,168,115.34,51.73,11.61,5.03,0
20120611:1511,141.86,99.9,43.53,11.46,5.1,0
20120611:1611,118.94,86.28,34.5,11.39,5.31,0
20120611:1711,109.86,80.83,25.25,11.28,5.1,0
20120611:1811,43.68,39.7,16.18,11.1,5.86,0
20120611:1911,18.1,21.96,7.62,11.18,5.45,0
20120611:2011,0,0,0,10.98,5.38,0
20120611:2111,0,0,0,10.77,5.24,0
20120611:2211,0,0,0,10.4,5.03,0
20120611:2311,0,0,0,10.2,5.03,0
20120612:0011,0,0,0,10.13,5.1,0
20120612:0111,0,0,0,10.09,5.1,0
20120612:0211,0,0,0,10.03,5.17,0
20120612:0311,0,0,0,9.95,5.24,0
20120612:0411,0,2.53,2.89,9.85,5.24,0
20120612:0511,12.74,17.74,10.97,9.81,5.24,0
20120612:0611,141.16,99.12,19.76,9.85,5.31,0
20120612:0711,89.3,68.11,28.95,10.25,5.52,0
20120612:0811,122.54,88.09,38.17,10.51,5.52,0
20120612:0911,137.7,97.17,46.97,10.87,5.59,0
20120612:1011,166.58,114.43,54.6,11.58,5.66,0
