pod_id,timestamp,surplus,consumption
6706464197dc20dce6cbaa3b,1/2/2022 17:00,0,0.341
6706464197dc20dce6cbaa3b,1/2/2022 17:30,0,0.363
6706464197dc20dce6cbaa3b,1/2/2022 18:00,0,0.392
6706464197dc20dce6cbaa3b,1/2/2022 18:30,0,0.447
6706464197dc20dce6cbaa3b,1/2/2022 19:00,0,0.389
6706464197dc20dce6cbaa3b,1/2/2022 19:30,0,0.414
6706464197dc20dce6cbaa3b,1/2/2022 20:00,0,0.332
6706464197dc20dce6cbaa3b,1/2/2022 20:30,0,0.482
6706464197dc20dce6cbaa3b,1/2/2022 21:00,0,0.445
6706464197dc20dce6cbaa3b,1/2/2022 21:30,0,0.489
6706464197dc20dce6cbaa3b,1/2/2022 22:00,0,1.112
6706464197dc20dce6cbaa3b,1/2/2022 22:30,0,0.71
6706464197dc20dce6cbaa3b,1/2/2022 23:00,0,0.491
6706464197dc20dce6cbaa3b,1/2/2022 23:30,0,1.155
6706464197dc20dce6cbaa3b,1/3/2022 0:00,0,0.949
6706464197dc20dce6cbaa3b,1/3/2022 0:30,0,1.601
6706464197dc20dce6cbaa3b,1/3/2022 1:00,0,0.74
6706464197dc20dce6cbaa3b,1/3/2022 1:30,0,0.476
6706464197dc20dce6cbaa3b,1/3/2022 2:00,0,0.605
6706464197dc20dce6cbaa3b,1/3/2022 2:30,0,0.534
6706464197dc20dce6cbaa3b,1/3/2022 3:00,0,0.409
6706464197dc20dce6cbaa3b,1/3/2022 3:30,0,0.393
6706464197dc20dce6cbaa3b,1/3/2022 4:00,0,0.851
6706464197dc20dce6cbaa3b,1/3/2022 4:30,0,0.473
6706464197dc20dce6cbaa3b,1/3/2022 5:00,0,0.368
6706464197dc20dce6cbaa3b,1/3/2022 5:30,0,0.912
6706464197dc20dce6cbaa3b,1/3/2022 6:00,0,0.328
6706464197dc20dce6cbaa3b,1/3/2022 6:30,0,0.406
6706464197dc20dce6cbaa3b,1/3/2022 7:00,0,0.338
6706464197dc20dce6cbaa3b,1/3/2022 7:30,0,0.43
6706464197dc20dce6cbaa3b,1/3/2022 8:00,0,0.422
6706464197dc20dce6cbaa3b,1/3/2022 8:30,0,0.33124
6706464197dc20dce6cbaa3b,1/3/2022 9:00,0,0.32648
6706464197dc20dce6cbaa3b,1/3/2022 9:30,0,0.15344
6706464197dc20dce6cbaa3b,1/3/2022 10:00,0,0.2614
6706464197dc20dce6cbaa3b,1/3/2022 10:30,0,0.28184
6706464197dc20dce6cbaa3b,1/3/2022 11:00,0,0.44828
6706464197dc20dce6cbaa3b,1/3/2022 11:30,0,0.26968
6706464197dc20dce6cbaa3b,1/3/2022 12:00,0,0.17108
6706464197dc20dce6cbaa3b,1/3/2022 12:30,0,0.10212
6706464197dc20dce6cbaa3b,1/3/2022 13:00,0,0.03016
6706464197dc20dce6cbaa3b,1/3/2022 13:30,0,0
6706464197dc20dce6cbaa3b,1/3/2022 14:00,0,0
6706464197dc20dce6cbaa3b,1/3/2022 14:30,0,0
6706464197dc20dce6cbaa3b,1/3/2022 15:00,0,0
6706464197dc20dce6cbaa3b,1/3/2022 15:30,0,0
6706464197dc20dce6cbaa3b,1/3/2022 16:00,0,0.423
6706464197dc20dce6cbaa3b,1/3/2022 16:30,0,0.409
6706464197dc20dce6cbaa3b,1/3/2022 17:00,0,0.331
6706464197dc20dce6cbaa3b,1/3/2022 17:30,0,0.362
6706464197dc20dce6cbaa3b,1/3/2022 18:00,0,0.358
6706464197dc20dce6cbaa3b,1/3/2022 18:30,0,0.429
6706464197dc20dce6cbaa3b,1/3/2022 19:00,0,0.355
6706464197dc20dce6cbaa3b,1/3/2022 19:30,0,0.356
6706464197dc20dce6cbaa3b,1/3/2022 20:00,0,0.336
6706464197dc20dce6cbaa3b,1/3/2022 20:30,0,0.485
6706464197dc20dce6cbaa3b,1/3/2022 21:00,0,0.447
6706464197dc20dce6cbaa3b,1/3/2022 21:30,0,0.484
6706464197dc20dce6cbaa3b,1/3/2022 22:00,0,0.472
6706464197dc20dce6cbaa3b,1/3/2022 22:30,0,0.439
6706464197dc20dce6cbaa3b,1/3/2022 23:00,0,0.445
6706464197dc20dce6cbaa3b,1/3/2022 23:30,0,0.374
6706464197dc20dce6cbaa3b,1/4/2022 0:00,0,0.398
6706464197dc20dce6cbaa3b,1/4/2022 0:30,0,0.37
6706464197dc20dce6cbaa3b,1/4/2022 1:00,0,0.401
6706464197dc20dce6cbaa3b,1/4/2022 1:30,0,0.332
6706464197dc20dce6cbaa3b,1/4/2022 2:00,0,0.333
6706464197dc20dce6cbaa3b,1/4/2022 2:30,0,0.35
6706464197dc20dce6cbaa3b,1/4/2022 3:00,0,0.408
6706464197dc20dce6cbaa3b,1/4/2022 3:30,0,0.369
6706464197dc20dce6cbaa3b,1/4/2022 4:00,0,0.395
6706464197dc20dce6cbaa3b,1/4/2022 4:30,0,0.351
6706464197dc20dce6cbaa3b,1/4/2022 5:00,0,0.366
6706464197dc20dce6cbaa3b,1/4/2022 5:30,0,0.393
6706464197dc20dce6cbaa3b,1/4/2022 6:00,0,0.379
6706464197dc20dce6cbaa3b,1/4/2022 6:30,0,0.366
6706464197dc20dce6cbaa3b,1/4/2022 7:00,0,0.325
6706464197dc20dce6cbaa3b,1/4/2022 7:30,0,0.45
6706464197dc20dce6cbaa3b,1/4/2022 8:00,0,0.426
6706464197dc20dce6cbaa3b,1/4/2022 8:30,0,0.26324
6706464197dc20dce6cbaa3b,1/4/2022 9:00,0,0.04148
6706464197dc20dce6cbaa3b,1/4/2022 9:30,0,0
6706464197dc20dce6cbaa3b,1/4/2022 10:00,0,0
6706464197dc20dce6cbaa3b,1/4/2022 10:30,0,0
6706464197dc20dce6cbaa3b,1/4/2022 11:00,0,0
6706464197dc20dce6cbaa3b,1/4/2022 11:30,0,0
6706464197dc20dce6cbaa3b,1/4/2022 12:00,0,0
6706464197dc20dce6cbaa3b,1/4/2022 12:30,0,0
6706464197dc20dce6cbaa3b,1/4/2022 13:00,0,0
6706464197dc20dce6cbaa3b,1/4/2022 13:30,0,0
6706464197dc20dce6cbaa3b,1/4/2022 14:00,0,0.17664
6706464197dc20dce6cbaa3b,1/4/2022 14:30,0,0.1954
6706464197dc20dce6cbaa3b,1/4/2022 15:00,0,0.13116
6706464197dc20dce6cbaa3b,1/4/2022 15:30,0,0.32308
6706464197dc20dce6cbaa3b,1/4/2022 16:00,0,0.346
6706464197dc20dce6cbaa3b,1/4/2022 16:30,0,0.419
6706464197dc20dce6cbaa3b,1/4/2022 17:00,0,0.387
6706464197dc20dce6cbaa3b,1/4/2022 17:30,0,0.403
6706464197dc20dce6cbaa3b,1/4/2022 18:00,0,0.34
6706464197dc20dce6cbaa3b,1/4/2022 18:30,0,0.358
6706464197dc20dce6cbaa3b,1/4/2022 19:00,0,0.335
