LCLid,KWH/hh (per half hour)
MAC000007,0.195
MAC000007,0.154
MAC000007,0.118
MAC000007,0.124
MAC000007,0.086
MAC000007,0.082
MAC000007,0.114
MAC000007,0.087
MAC000007,0.068
MAC000007,0.076
MAC000007,0.083
MAC000007,1.206
MAC000007,0.756
MAC000007,0.147
MAC000007,0.125
MAC000007,0.192
MAC000007,0.207
MAC000007,0.259
MAC000007,0.217
MAC000007,0.265
MAC000007,0.137
MAC000007,0.063
MAC000007,0.096
MAC000007,0.097
MAC000007,0.083
MAC000007,0.082
MAC000007,0.062
MAC000007,0.073
MAC000007,0.072
MAC000007,0.065
MAC000007,0.052
MAC000007,0.035
MAC000007,0.038
MAC000007,0.078
MAC000007,0.083
MAC000007,0.1
MAC000007,0.076
MAC000007,0.087
MAC000007,0.265
MAC000007,0.095
MAC000007,0.539
MAC000007,0.218
MAC000007,0.139
MAC000007,0.597
MAC000007,0.453
MAC000007,0.326
MAC000007,0.395
MAC000007,0.537
MAC000007,0.397
MAC000007,0.562
MAC000007,0.113
MAC000007,0.143
MAC000007,0.413
MAC000007,0.145
MAC000007,0.183
MAC000007,0.186
MAC000007,0.145
MAC000007,0.116
MAC000007,0.076
MAC000007,0.08
MAC000007,0.075
MAC000007,0.046
MAC000007,0.147
MAC000007,0.36
MAC000007,0.816
MAC000007,0.664
MAC000007,0.284
MAC000007,0.626
MAC000007,0.169
MAC000007,0.123
MAC000007,0.101
MAC000007,0.08
MAC000007,0.085
MAC000007,0.064
MAC000007,0.04
MAC000007,0.05
MAC000007,0.105
MAC000007,0.101
MAC000007,0.064
MAC000007,0.045
MAC000007,0.051
MAC000007,0.055
MAC000007,0.103
MAC000007,0.106
MAC000007,0.053
MAC000007,0.029
MAC000007,0.213
MAC000007,0.151
MAC000007,0.858
MAC000007,0.168
MAC000007,0.159
MAC000007,0.291
MAC000007,0.475
MAC000007,0.239
MAC000007,0.125
MAC000007,0.128
MAC000007,0.292
MAC000007,0.192
MAC000007,0.184
MAC000007,0.13
MAC000007,0.082
MAC000007,0.06
MAC000007,0.068
MAC000007,0.087
MAC000007,0.1
MAC000007,0.098
MAC000007,0.055
MAC000007,0.691
MAC000007,1.5599999
MAC000007,0.195
MAC000007,0.245
MAC000007,0.466
MAC000007,0.858
MAC000007,0.449
MAC000007,0.152
MAC000007,0.242
MAC000007,0.196
MAC000007,0.123
MAC000007,0.066
MAC000007,0.079
MAC000007,0.071
MAC000007,0.064
MAC000007,0.116
MAC000007,0.042
MAC000007,0.03
MAC000007,0.051
MAC000007,0.044
MAC000007,0.068
MAC000007,0.119
MAC000007,0.085
MAC000007,0.076
MAC000007,0.052
MAC000007,0.029
MAC000007,0.049
MAC000007,0.06
MAC000007,0.267
MAC000007,0.201
MAC000007,0.492
MAC000007,0.175
MAC000007,0.124
MAC000007,0.435
MAC000007,0.396
MAC000007,0.157
