LCLid,KWH/hh (per half hour)
MAC000010,0.918
MAC000010,0.973
MAC000010,0.515
MAC000010,0.281
MAC000010,0.28
MAC000010,0.294
MAC000010,0.262
MAC000010,0.265
MAC000010,0.29
MAC000010,0.444
MAC000010,2.033
MAC000010,0.81
MAC000010,1.0549999
MAC000010,0.654
MAC000010,1.298
MAC000010,0.492
MAC000010,0.521
MAC000010,0.453
MAC000010,0.39
MAC000010,0.368
MAC000010,0.519
MAC000010,0.214
MAC000010,0.217
MAC000010,0.254
MAC000010,0.379
MAC000010,0.201
MAC000010,0.181
MAC000010,0.227
MAC000010,0.231
MAC000010,0.179
MAC000010,0.141
MAC000010,0.195
MAC000010,0.202
MAC000010,0.196
MAC000010,0.172
MAC000010,0.434
MAC000010,0.446
MAC000010,0.358
MAC000010,0.387
MAC000010,1.125
MAC000010,0.35
MAC000010,1.271
MAC000010,0.798
MAC000010,0.427
MAC000010,1.615
MAC000010,0.407
MAC000010,0.311
MAC000010,1.143
MAC000010,0.321
MAC000010,0.798
MAC000010,1.205
MAC000010,0.351
MAC000010,0.416
MAC000010,1.148
MAC000010,0.351
MAC000010,0.356
MAC000010,0.294
MAC000010,0.648
MAC000010,0.96
MAC000010,0.815
MAC000010,0.74
MAC000010,0.665
MAC000010,0.566
MAC000010,0.508
MAC000010,0.466
MAC000010,1.137
MAC000010,0.976
MAC000010,0.758
MAC000010,1.113
MAC000010,0.352
MAC000010,0.23
MAC000010,0.254
MAC000010,0.237
MAC000010,0.183
MAC000010,0.169
MAC000010,0.231
MAC000010,0.226
MAC000010,0.184
MAC000010,0.139
MAC000010,0.173
MAC000010,0.194
MAC000010,0.206
MAC000010,0.241
MAC000010,0.722
MAC000010,0.728
MAC000010,0.576
MAC000010,1.161
MAC000010,1.1
MAC000010,1.215
MAC000010,0.374
MAC000010,1.507
MAC000010,0.711
MAC000010,0.58
MAC000010,0.562
MAC000010,0.51
MAC000010,0.897
MAC000010,0.312
MAC000010,0.308
MAC000010,0.859
MAC000010,0.658
MAC000010,0.301
MAC000010,0.455
MAC000010,0.377
MAC000010,0.873
MAC000010,0.553
MAC000010,0.506
MAC000010,0.528
MAC000010,1.317
MAC000010,0.738
MAC000010,1.141
MAC000010,1.289
MAC000010,0.462
MAC000010,0.496
MAC000010,0.599
MAC000010,0.501
MAC000010,0.464
MAC000010,0.36
MAC000010,0.256
MAC000010,0.234
MAC000010,0.209
MAC000010,0.178
MAC000010,0.222
MAC000010,0.234
MAC000010,0.2
MAC000010,0.165
MAC000010,0.189
MAC000010,0.197
MAC000010,0.16
MAC000010,0.327
MAC000010,0.639
MAC000010,0.97
MAC000010,0.246
MAC000010,0.271
MAC000010,0.457
MAC000010,0.36
MAC000010,0.247
MAC000010,0.278
MAC000010,0.301
MAC000010,0.281
MAC000010,0.232
MAC000010,0.271
MAC000010,0.276
MAC000010,0.22
MAC000010,0.197
MAC000010,0.311
MAC000010,0.585
MAC000010,0.267
MAC000010,0.254
MAC000010,1.0880001
MAC000010,0.284
MAC000010,0.192
MAC000010,0.24
MAC000010,0.245
MAC000010,0.431
MAC000010,1.122
MAC000010,0.908
MAC000010,1.753
MAC000010,0.991
MAC000010,1.385
MAC000010,0.528
MAC000010,0.511
MAC000010,0.644
MAC000010,0.647
MAC000010,0.809
MAC000010,0.3
MAC000010,0.233
MAC000010,0.234
MAC000010,0.253
MAC000010,0.232
MAC000010,0.217
MAC000010,0.176
MAC000010,0.211
MAC000010,0.235
MAC000010,0.2
MAC000010,0.143
MAC000010,0.159
MAC000010,0.202
MAC000010,0.211
MAC000010,0.173
MAC000010,0.491
MAC000010,0.406
MAC000010,0.486
MAC000010,1.096
MAC000010,0.449
MAC000010,1.137
MAC000010,0.459
MAC000010,0.522
MAC000010,0.539
MAC000010,0.554
MAC000010,0.54
MAC000010,0.512
MAC000010,0.565
MAC000010,0.538
MAC000010,0.534
MAC000010,0.528
MAC000010,0.514
MAC000010,0.608
MAC000010,0.38
MAC000010,0.316
MAC000010,0.295
MAC000010,0.472
MAC000010,0.482
MAC000010,0.447
MAC000010,1.8710001
MAC000010,1.2690001
MAC000010,0.617
MAC000010,1.377
MAC000010,1.002
MAC000010,0.606
MAC000010,0.918
MAC000010,0.632
MAC000010,0.345
MAC000010,0.497
MAC000010,0.301
MAC000010,0.281
MAC000010,0.243
MAC000010,0.191
MAC000010,0.217
MAC000010,0.238
MAC000010,0.24
MAC000010,0.184
MAC000010,0.173
MAC000010,0.202
MAC000010,0.238
MAC000010,0.327
MAC000010,0.502
MAC000010,0.536
MAC000010,0.348
MAC000010,0.243
MAC000010,0.246
MAC000010,0.894
MAC000010,0.365
MAC000010,0.787
MAC000010,0.949
MAC000010,0.454
MAC000010,0.359
MAC000010,0.327
MAC000010,0.385
MAC000010,0.377
MAC000010,0.328
MAC000010,0.352
MAC000010,0.959
MAC000010,1.224
MAC000010,0.283
MAC000010,0.482
MAC000010,0.369
MAC000010,0.799
MAC000010,1.834
MAC000010,1.198
MAC000010,0.676
MAC000010,1.214
MAC000010,2.48
MAC000010,2.4100001
MAC000010,0.692
MAC000010,1.738
MAC000010,1
MAC000010,0.533
MAC000010,1.1339999
MAC000010,0.645
MAC000010,0.415
MAC000010,0.394
MAC000010,0.477
MAC000010,0.293
MAC000010,0.262
MAC000010,0.181
MAC000010,0.184
MAC000010,0.221
MAC000010,0.21
MAC000010,0.193
MAC000010,0.189
MAC000010,0.202
MAC000010,0.157
MAC000010,0.147
MAC000010,0.229
MAC000010,0.217
MAC000010,0.175
MAC000010,0.468
MAC000010,0.329
MAC000010,0.846
MAC000010,1.781
MAC000010,1.102
MAC000010,0.779
MAC000010,0.645
MAC000010,0.655
MAC000010,0.274
MAC000010,0.224
MAC000010,0.203
MAC000010,0.257
MAC000010,0.253
MAC000010,0.576
MAC000010,0.642
MAC000010,0.44
MAC000010,0.299
MAC000010,0.834
MAC000010,0.28
MAC000010,0.486
MAC000010,0.397
MAC000010,0.815
MAC000010,2.069
MAC000010,1.979
MAC000010,0.824
MAC000010,0.551
MAC000010,1.457
MAC000010,1.215
MAC000010,0.681
MAC000010,0.642
MAC000010,0.413
MAC000010,0.304
MAC000010,0.272
MAC000010,0.224
MAC000010,0.197
MAC000010,0.229
MAC000010,0.233
MAC000010,0.231
MAC000010,0.203
MAC000010,0.185
MAC000010,0.236
MAC000010,0.329
MAC000010,1.006
MAC000010,0.145
MAC000010,0.168
MAC000010,0.225
MAC000010,0.234
