LCLid,KWH/hh (per half hour)
MAC000009,0.119
MAC000009,0.168
MAC000009,0.293
MAC000009,0.747
MAC000009,0.186
MAC000009,0.427
MAC000009,0.147
MAC000009,0.166
MAC000009,0.166
MAC000009,0.228
MAC000009,0.184
MAC000009,0.185
MAC000009,0.263
MAC000009,0.23
MAC000009,0.173
MAC000009,0.217
MAC000009,0.252
MAC000009,0.193
MAC000009,0.243
MAC000009,0.241
MAC000009,0.258
MAC000009,0.248
MAC000009,0.218
MAC000009,0.245
MAC000009,0.194
MAC000009,0.141
MAC000009,0.075
MAC000009,0.093
MAC000009,0.055
MAC000009,0.033
MAC000009,0.109
MAC000009,0.032
MAC000009,0.049
MAC000009,0.108
MAC000009,0.04
MAC000009,0.049
MAC000009,0.081
MAC000009,0.065
MAC000009,0.046
MAC000009,0.102
MAC000009,0.062
MAC000009,0.035
MAC000009,0.086
MAC000009,0.211
MAC000009,0.447
MAC000009,0.132
MAC000009,0.078
MAC000009,0.115
MAC000009,0.099
MAC000009,0.122
MAC000009,0.119
MAC000009,0.06
MAC000009,0.06
MAC000009,0.113
MAC000009,0.069
MAC000009,0.029
MAC000009,0.072
MAC000009,0.233
MAC000009,0.123
MAC000009,0.136
MAC000009,0.303
MAC000009,0.165
MAC000009,0.158
MAC000009,0.216
MAC000009,0.213
MAC000009,0.191
MAC000009,0.214
MAC000009,0.243
MAC000009,0.195
MAC000009,0.182
MAC000009,0.212
MAC000009,0.316
MAC000009,0.141
MAC000009,0.152
MAC000009,0.104
MAC000009,0.033
MAC000009,0.111
MAC000009,0.063
MAC000009,0.116
MAC000009,0.089
MAC000009,0.043
MAC000009,0.056
MAC000009,0.092
MAC000009,0.068
MAC000009,0.045
MAC000009,0.065
MAC000009,0.115
MAC000009,0.048
MAC000009,0.055
MAC000009,0.082
MAC000009,0.078
MAC000009,0.203
MAC000009,0.8
MAC000009,0.137
MAC000009,0.092
MAC000009,0.117
MAC000009,0.065
MAC000009,0.267
MAC000009,0.096
MAC000009,0.473
MAC000009,0.172
MAC000009,0.154
MAC000009,0.113
MAC000009,0.126
MAC000009,0.118
MAC000009,0.261
MAC000009,0.135
MAC000009,0.186
MAC000009,0.183
MAC000009,0.263
MAC000009,0.153
MAC000009,0.267
MAC000009,0.263
MAC000009,0.25
MAC000009,0.243
MAC000009,0.289
MAC000009,0.194
MAC000009,0.188
MAC000009,0.225
MAC000009,0.282
MAC000009,0.138
MAC000009,0.19
MAC000009,0.06
MAC000009,0.032
MAC000009,0.063
MAC000009,0.071
MAC000009,0.053
MAC000009,0.04
MAC000009,0.111
MAC000009,0.055
MAC000009,0.03
MAC000009,0.099
MAC000009,0.071
MAC000009,0.047
MAC000009,0.126
MAC000009,0.084
MAC000009,0.093
MAC000009,0.096
MAC000009,0.343
MAC000009,0.317
MAC000009,0.108
MAC000009,0.046
MAC000009,0.093
MAC000009,0.103
MAC000009,0.061
MAC000009,0.089
MAC000009,0.114
MAC000009,0.07
MAC000009,0.084
MAC000009,0.122
MAC000009,0.051
MAC000009,0.033
MAC000009,0.097
MAC000009,0.192
MAC000009,0.149
MAC000009,0.215
MAC000009,0.569
MAC000009,0.541
MAC000009,0.308
MAC000009,0.255
MAC000009,0.21
MAC000009,0.278
MAC000009,0.29
MAC000009,0.271
MAC000009,0.303
MAC000009,0.291
MAC000009,0.188
MAC000009,0.318
MAC000009,0.156
MAC000009,0.162
MAC000009,0.03
MAC000009,0.03
MAC000009,0.095
MAC000009,0.074
MAC000009,0.059
MAC000009,0.072
MAC000009,0.086
MAC000009,0.045
MAC000009,0.058
MAC000009,0.107
MAC000009,0.056
MAC000009,0.047
MAC000009,0.112
MAC000009,0.063
MAC000009,0.042
MAC000009,0.085
MAC000009,0.083
MAC000009,0.453
MAC000009,0.313
MAC000009,0.291
MAC000009,0.581
MAC000009,0.623
MAC000009,0.767
MAC000009,0.276
MAC000009,0.23
MAC000009,0.786
MAC000009,0.157
MAC000009,0.203
MAC000009,0.117
MAC000009,0.123
MAC000009,0.138
MAC000009,0.199
MAC000009,0.201
MAC000009,0.176
MAC000009,0.157
MAC000009,0.313
MAC000009,0.188
MAC000009,0.157
MAC000009,0.198
MAC000009,0.129
