LCLid,KWH/hh (per half hour)
MAC000003,0.976
MAC000003,0.834
MAC000003,0.577
MAC000003,0.63
MAC000003,0.679
MAC000003,0.321
MAC000003,0.28
MAC000003,0.202
MAC000003,0.187
MAC000003,0.187
MAC000003,0.145
MAC000003,0.164
MAC000003,0.104
MAC000003,0.336
MAC000003,0.171
MAC000003,0.165
MAC000003,0.216
MAC000003,0.25
MAC000003,0.255
MAC000003,0.164
MAC000003,0.174
MAC000003,0.544
MAC000003,0.346
MAC000003,3.3789999
MAC000003,3.148
MAC000003,3.277
MAC000003,2.5680001
MAC000003,2.1459999
MAC000003,2.6289999
MAC000003,2.418
MAC000003,2.4170001
MAC000003,1.8099999
MAC000003,0.252
MAC000003,0.401
MAC000003,0.33
MAC000003,0.578
MAC000003,0.684
MAC000003,0.101
MAC000003,0.04
MAC000003,0.182
MAC000003,0.158
MAC000003,0.215
MAC000003,0.296
MAC000003,0.23
MAC000003,0.239
MAC000003,0.078
MAC000003,0.041
MAC000003,0.095
MAC000003,0.213
MAC000003,0.23
MAC000003,0.176
MAC000003,0.145
MAC000003,0.179
MAC000003,0.111
MAC000003,0.125
MAC000003,0.106
MAC000003,0.06
MAC000003,0.282
MAC000003,0.219
MAC000003,0.256
MAC000003,0.283
MAC000003,0.242
MAC000003,0.279
MAC000003,0.181
MAC000003,0.141
MAC000003,0.2
MAC000003,0.189
MAC000003,0.21
MAC000003,0.189
MAC000003,0.144
MAC000003,0.178
MAC000003,1.971
MAC000003,2.132
MAC000003,1.8099999
MAC000003,0.928
MAC000003,1.669
MAC000003,0.986
MAC000003,1.219
MAC000003,1.285
MAC000003,1.054
MAC000003,0.481
MAC000003,0.19
MAC000003,0.461
MAC000003,0.064
MAC000003,0.586
MAC000003,0.109
MAC000003,0.116
MAC000003,0.131
MAC000003,0.072
MAC000003,0.185
MAC000003,0.179
MAC000003,0.17
MAC000003,0.163
MAC000003,0.109
MAC000003,0.09
MAC000003,0.112
MAC000003,0.06
MAC000003,0.112
MAC000003,0.111
MAC000003,0.11
MAC000003,0.127
MAC000003,0.071
MAC000003,0.095
MAC000003,0.092
MAC000003,0.107
MAC000003,0.287
MAC000003,0.263
MAC000003,0.188
MAC000003,0.231
MAC000003,0.176
MAC000003,0.231
MAC000003,0.207
MAC000003,0.171
MAC000003,0.178
MAC000003,0.077
MAC000003,0.072
MAC000003,0.108
MAC000003,0.085
MAC000003,0.12
MAC000003,1.9910001
MAC000003,1.978
MAC000003,1.717
MAC000003,0.824
MAC000003,1.1569999
MAC000003,0.942
MAC000003,0.965
MAC000003,1.276
MAC000003,0.594
MAC000003,0.23
MAC000003,0.709
MAC000003,0.146
MAC000003,0.187
MAC000003,0.847
MAC000003,0.122
MAC000003,0.106
MAC000003,0.091
MAC000003,0.307
MAC000003,0.289
MAC000003,0.239
MAC000003,0.341
MAC000003,0.235
MAC000003,0.188
MAC000003,0.131
MAC000003,0.207
MAC000003,0.284
MAC000003,0.707
MAC000003,0.762
MAC000003,0.283
MAC000003,0.133
MAC000003,0.126
MAC000003,0.077
MAC000003,0.124
MAC000003,0.257
MAC000003,0.253
MAC000003,0.265
MAC000003,0.696
MAC000003,0.194
MAC000003,0.263
MAC000003,0.176
MAC000003,0.195
MAC000003,0.179
MAC000003,0.145
MAC000003,0.174
MAC000003,0.179
MAC000003,0.135
MAC000003,0.148
MAC000003,0.079
MAC000003,0.765
MAC000003,0.814
MAC000003,0.807
MAC000003,0.899
MAC000003,0.935
MAC000003,0.906
MAC000003,0.928
MAC000003,0.883
MAC000003,0.416
MAC000003,0.13
MAC000003,0.115
MAC000003,0.612
MAC000003,0.088
MAC000003,0.373
MAC000003,0.188
MAC000003,0.186
MAC000003,0.341
MAC000003,0.259
MAC000003,0.231
MAC000003,0.254
MAC000003,0.281
MAC000003,0.358
MAC000003,0.327
MAC000003,0.255
MAC000003,0.159
MAC000003,0.121
MAC000003,0.229
MAC000003,0.229
MAC000003,0.176
MAC000003,0.158
MAC000003,0.078
MAC000003,0.096
MAC000003,0.071
MAC000003,0.068
MAC000003,0.143
MAC000003,0.151
MAC000003,0.156
MAC000003,0.29
MAC000003,0.71
MAC000003,0.181
MAC000003,0.554
MAC000003,0.18
MAC000003,0.205
MAC000003,0.137
MAC000003,0.153
MAC000003,0.083
MAC000003,0.059
MAC000003,0.139
MAC000003,0.767
MAC000003,0.744
MAC000003,0.78
MAC000003,0.768
MAC000003,0.842
MAC000003,0.902
MAC000003,0.895
MAC000003,0.912
MAC000003,0.861
MAC000003,0.845
MAC000003,0.869
MAC000003,0.2
MAC000003,0.433
MAC000003,0.384
MAC000003,0.234
MAC000003,0.239
MAC000003,0.282
MAC000003,0.235
MAC000003,0.106
MAC000003,0.075
MAC000003,0.073
MAC000003,0.047
MAC000003,0.125
MAC000003,0.274
MAC000003,0.318
MAC000003,0.206
MAC000003,0.177
MAC000003,0.179
MAC000003,0.221
MAC000003,0.145
MAC000003,0.125
MAC000003,0.151
MAC000003,0.114
MAC000003,0.101
MAC000003,0.125
MAC000003,0.213
MAC000003,0.163
MAC000003,0.148
MAC000003,0.156
MAC000003,0.129
MAC000003,0.146
MAC000003,0.142
MAC000003,0.148
MAC000003,0.164
MAC000003,0.08
MAC000003,0.107
MAC000003,0.145
MAC000003,0.083
MAC000003,0.806
MAC000003,0.81
MAC000003,0.817
MAC000003,0.846
MAC000003,0.834
MAC000003,0.879
MAC000003,0.943
MAC000003,0.917
MAC000003,0.932
MAC000003,0.927
MAC000003,0.875
MAC000003,0.88
MAC000003,0.303
MAC000003,0.585
MAC000003,0.149
MAC000003,0.122
MAC000003,0.202
MAC000003,0.315
MAC000003,0.239
MAC000003,0.284
MAC000003,0.226
MAC000003,0.206
MAC000003,0.162
MAC000003,0.102
MAC000003,0.084
MAC000003,0.156
MAC000003,0.675
MAC000003,0.872
MAC000003,0.247
MAC000003,0.215
MAC000003,0.203
MAC000003,0.084
MAC000003,0.112
MAC000003,0.078
MAC000003,0.162
MAC000003,0.203
MAC000003,0.107
MAC000003,0.1
MAC000003,0.107
MAC000003,0.118
MAC000003,0.202
MAC000003,0.25
MAC000003,0.195
MAC000003,0.201
MAC000003,0.24
MAC000003,0.171
MAC000003,0.147
MAC000003,0.166
MAC000003,1.348
MAC000003,1.35
MAC000003,1.404
MAC000003,1.4
MAC000003,1.421
MAC000003,1.563
MAC000003,1.3049999
MAC000003,0.114
MAC000003,0.113
MAC000003,0.463
MAC000003,0.108
MAC000003,0.122
MAC000003,0.42
MAC000003,0.665
MAC000003,0.234
MAC000003,0.214
MAC000003,0.313
MAC000003,0.194
MAC000003,0.29
MAC000003,0.275
MAC000003,0.271
MAC000003,0.252
MAC000003,0.234
MAC000003,0.208
MAC000003,0.275
MAC000003,0.456
MAC000003,0.198
MAC000003,0.205
MAC000003,0.157
MAC000003,0.174
MAC000003,0.177
MAC000003,0.102
MAC000003,0.126
MAC000003,0.188
MAC000003,0.264
MAC000003,0.315
MAC000003,0.262
MAC000003,0.331
MAC000003,0.233
MAC000003,0.14
MAC000003,0.17
MAC000003,0.169
MAC000003,0.16
MAC000003,0.221
MAC000003,0.199
MAC000003,0.138
MAC000003,0.13
MAC000003,0.078
MAC000003,1.2869999
MAC000003,1.404
MAC000003,0.915
MAC000003,0.151
MAC000003,0.469
MAC000003,0.1
MAC000003,0.11
MAC000003,0.394
MAC000003,0.142
MAC000003,0.172
MAC000003,0.47
MAC000003,0.121
MAC000003,0.151
MAC000003,1.007
MAC000003,0.27
MAC000003,0.32
MAC000003,0.279
MAC000003,0.225
MAC000003,0.255
MAC000003,0.28
MAC000003,0.218
MAC000003,0.257
MAC000003,0.295
MAC000003,0.211
MAC000003,0.222
MAC000003,0.162
MAC000003,0.122
MAC000003,0.141
MAC000003,0.126
MAC000003,0.169
MAC000003,0.148
MAC000003,0.096
MAC000003,0.127
MAC000003,0.14
MAC000003,0.194
MAC000003,0.285
MAC000003,0.188
MAC000003,0.251
MAC000003,0.195
MAC000003,0.668
MAC000003,0.41
MAC000003,0.377
MAC000003,0.445
MAC000003,0.229
MAC000003,0.36
MAC000003,0.159
MAC000003,0.157
MAC000003,0.108
MAC000003,1.375
MAC000003,1.449
MAC000003,1.026
MAC000003,0.128
MAC000003,0.443
MAC000003,0.079
MAC000003,0.416
MAC000003,0.123
MAC000003,0.135
MAC000003,0.438
MAC000003,0.088
MAC000003,0.135
MAC000003,0.476
MAC000003,0.132
MAC000003,0.162
MAC000003,0.112
MAC000003,0.259
MAC000003,0.264
MAC000003,0.258
MAC000003,0.273
MAC000003,0.225
MAC000003,0.259
MAC000003,0.188
MAC000003,0.14
MAC000003,0.133
MAC000003,0.091
MAC000003,0.147
