LCLid,KWH/hh (per half hour)
MAC000006,0.096
MAC000006,0.101
MAC000006,0.179
MAC000006,0.058
MAC000006,0.06
MAC000006,0.085
MAC000006,0.05
MAC000006,0.077
MAC000006,0.111
MAC000006,0.081
MAC000006,0.076
MAC000006,0.056
MAC000006,0.046
MAC000006,0.113
MAC000006,0.111
MAC000006,0.122
MAC000006,0.139
MAC000006,0.114
MAC000006,0.117
MAC000006,0.096
MAC000006,0.043
MAC000006,0.079
MAC000006,0.043
MAC000006,0.048
MAC000006,0.061
MAC000006,0.014
MAC000006,0.031
MAC000006,0.039
MAC000006,0.02
MAC000006,0.042
MAC000006,0.023
MAC000006,0.016
MAC000006,0.065
MAC000006,0.038
MAC000006,0.038
MAC000006,0.072
MAC000006,0.037
MAC000006,0.042
MAC000006,0.067
MAC000006,0.051
MAC000006,0.093
MAC000006,0.103
MAC000006,0.078
MAC000006,0.1
MAC000006,0.277
MAC000006,0.047
MAC000006,0.076
MAC000006,0.341
MAC000006,0.456
MAC000006,0.118
MAC000006,0.092
MAC000006,0.101
MAC000006,0.05
MAC000006,0.02
MAC000006,0.029
MAC000006,0.038
MAC000006,0.015
MAC000006,0.034
MAC000006,0.031
MAC000006,0.11
MAC000006,0.109
MAC000006,0.117
MAC000006,0.137
MAC000006,0.098
MAC000006,0.111
MAC000006,0.105
MAC000006,0.089
MAC000006,0.115
MAC000006,0.049
MAC000006,0.042
MAC000006,0.081
MAC000006,0.024
MAC000006,0.025
MAC000006,0.04
MAC000006,0.014
MAC000006,0.036
MAC000006,0.029
MAC000006,0.014
MAC000006,0.046
MAC000006,0.018
MAC000006,0.015
MAC000006,0.05
MAC000006,0.014
MAC000006,0.02
MAC000006,0.065
MAC000006,0.038
MAC000006,0.046
MAC000006,0.082
MAC000006,0.088
MAC000006,0.098
MAC000006,0.094
MAC000006,0.242
MAC000006,0.157
MAC000006,0.051
MAC000006,0.054
MAC000006,0.12
MAC000006,0.093
MAC000006,0.08
MAC000006,0.078
MAC000006,0.049
MAC000006,0.074
MAC000006,0.085
MAC000006,0.189
MAC000006,0.066
MAC000006,0.068
MAC000006,0.045
MAC000006,0.11
MAC000006,0.096
MAC000006,0.088
MAC000006,0.184
MAC000006,0.085
MAC000006,0.09
MAC000006,0.117
MAC000006,0.084
MAC000006,0.099
MAC000006,0.103
MAC000006,0.042
MAC000006,0.069
MAC000006,0.056
MAC000006,0.034
MAC000006,0.072
MAC000006,0.065
MAC000006,0.058
MAC000006,0.014
MAC000006,0.032
MAC000006,0.035
MAC000006,0.015
MAC000006,0.043
MAC000006,0.022
MAC000006,0.015
MAC000006,0.051
MAC000006,0.025
MAC000006,0.041
MAC000006,0.07
MAC000006,0.037
MAC000006,0.06
MAC000006,0.107
MAC000006,0.079
MAC000006,0.1
MAC000006,0.094
MAC000006,0.23
MAC000006,0.083
MAC000006,0.082
MAC000006,0.058
MAC000006,0.092
MAC000006,0.05
MAC000006,0.051
MAC000006,0.138
MAC000006,0.098
MAC000006,0.119
MAC000006,0.09
MAC000006,0.05
MAC000006,0.048
MAC000006,0.094
MAC000006,0.051
MAC000006,0.046
MAC000006,0.171
MAC000006,0.065
MAC000006,0.1
MAC000006,0.137
MAC000006,0.085
