LCLid,KWH/hh (per half hour)
MAC000016,0.105
MAC000016,0.134
MAC000016,0.141
MAC000016,0.13
MAC000016,0.149
MAC000016,0.131
MAC000016,0.133
MAC000016,0.148
MAC000016,0.128
MAC000016,0.128
MAC000016,0.151
MAC000016,0.257
MAC000016,0.135
MAC000016,0.139
MAC000016,0.199
MAC000016,0.148
MAC000016,0.126
MAC000016,0.146
MAC000016,0.129
MAC000016,0.112
MAC000016,0.056
MAC000016,0.022
MAC000016,0.023
MAC000016,0.042
MAC000016,0.023
MAC000016,0.032
MAC000016,0.035
MAC000016,0.021
MAC000016,0.043
MAC000016,0.034
MAC000016,0.022
MAC000016,0.037
MAC000016,0.028
MAC000016,0.022
MAC000016,0.046
MAC000016,0.07
MAC000016,0.059
MAC000016,0.086
MAC000016,0.218
MAC000016,0.154
MAC000016,0.194
MAC000016,0.174
MAC000016,0.115
MAC000016,0.165
MAC000016,0.482
MAC000016,0.173
MAC000016,0.318
MAC000016,0.36
MAC000016,0.144
MAC000016,0.155
MAC000016,0.117
MAC000016,0.132
MAC000016,0.14
MAC000016,0.106
MAC000016,0.093
MAC000016,0.131
MAC000016,0.126
MAC000016,0.126
MAC000016,0.152
MAC000016,0.25
MAC000016,0.146
MAC000016,0.13
MAC000016,0.159
MAC000016,0.152
MAC000016,0.129
MAC000016,0.13
MAC000016,0.154
MAC000016,0.108
MAC000016,0.05
MAC000016,0.042
MAC000016,0.026
MAC000016,0.022
MAC000016,0.032
MAC000016,0.037
MAC000016,0.023
MAC000016,0.022
MAC000016,0.053
MAC000016,0.022
MAC000016,0.022
MAC000016,0.033
MAC000016,0.034
MAC000016,0.022
MAC000016,0.033
MAC000016,0.098
MAC000016,0.117
MAC000016,0.097
MAC000016,0.166
MAC000016,0.175
MAC000016,0.195
MAC000016,0.129
MAC000016,0.159
MAC000016,0.18
MAC000016,0.131
MAC000016,0.179
MAC000016,0.216
MAC000016,0.128
MAC000016,0.128
MAC000016,0.131
MAC000016,0.129
MAC000016,0.132
MAC000016,0.152
MAC000016,0.129
MAC000016,0.144
MAC000016,0.134
MAC000016,0.125
MAC000016,0.148
MAC000016,0.128
MAC000016,0.332
MAC000016,0.144
MAC000016,0.124
MAC000016,0.166
MAC000016,0.122
MAC000016,0.125
MAC000016,0.147
MAC000016,0.125
MAC000016,0.09
MAC000016,0.057
MAC000016,0.022
MAC000016,0.023
MAC000016,0.047
MAC000016,0.022
MAC000016,0.023
MAC000016,0.042
MAC000016,0.027
MAC000016,0.03
MAC000016,0.028
MAC000016,0.039
MAC000016,0.022
MAC000016,0.022
MAC000016,0.045
MAC000016,0.033
MAC000016,0.063
MAC000016,0.068
MAC000016,0.092
MAC000016,0.173
MAC000016,0.133
MAC000016,0.197
MAC000016,0.178
MAC000016,0.159
MAC000016,0.152
MAC000016,0.099
MAC000016,0.196
MAC000016,0.156
MAC000016,0.177
