LCLid,KWH/hh (per half hour)
MAC000018,0.303
MAC000018,0.2
MAC000018,0.218
MAC000018,0.209
MAC000018,0.21
MAC000018,0.238
MAC000018,0.439
MAC000018,0.983
MAC000018,0.352
MAC000018,0.279
MAC000018,0.355
MAC000018,0.279
MAC000018,0.196
MAC000018,0.177
MAC000018,0.319
MAC000018,0.462
MAC000018,0.398
MAC000018,0.279
MAC000018,0.371
MAC000018,0.444
MAC000018,0.315
MAC000018,0.332
MAC000018,0.344
MAC000018,0.393
MAC000018,0.256
MAC000018,0.337
MAC000018,0.434
MAC000018,0.556
MAC000018,0.362
MAC000018,0.294
MAC000018,0.134
MAC000018,0.119
MAC000018,0.125
MAC000018,0.127
MAC000018,0.123
MAC000018,0.121
MAC000018,0.121
MAC000018,0.121
MAC000018,0.121
MAC000018,0.121
MAC000018,0.12
MAC000018,0.123
MAC000018,0.122
MAC000018,0.153
MAC000018,0.158
MAC000018,0.24
MAC000018,0.318
MAC000018,0.325
MAC000018,0.274
MAC000018,0.43
MAC000018,0.407
MAC000018,0.501
MAC000018,0.482
MAC000018,0.473
MAC000018,0.46
MAC000018,0.52
MAC000018,1.071
MAC000018,0.743
MAC000018,0.425
MAC000018,0.433
MAC000018,0.477
MAC000018,0.466
MAC000018,0.563
MAC000018,0.451
MAC000018,0.46
MAC000018,0.479
MAC000018,0.906
MAC000018,0.952
MAC000018,0.683
MAC000018,0.527
MAC000018,0.524
MAC000018,0.618
MAC000018,0.482
MAC000018,0.452
MAC000018,0.372
MAC000018,0.36
MAC000018,0.368
MAC000018,0.338
MAC000018,0.121
MAC000018,0.126
MAC000018,0.12
MAC000018,0.12
MAC000018,0.121
MAC000018,0.121
MAC000018,0.123
MAC000018,0.123
MAC000018,0.122
MAC000018,0.121
MAC000018,0.121
MAC000018,0.12
MAC000018,0.119
MAC000018,0.15
MAC000018,0.156
MAC000018,0.241
MAC000018,0.245
MAC000018,0.246
MAC000018,0.27
MAC000018,0.469
MAC000018,0.894
MAC000018,1.08
MAC000018,0.774
MAC000018,0.378
MAC000018,0.323
MAC000018,0.52
MAC000018,0.312
MAC000018,1.026
MAC000018,0.344
MAC000018,0.242
MAC000018,0.21
MAC000018,0.199
MAC000018,0.264
MAC000018,0.274
MAC000018,0.611
MAC000018,0.758
MAC000018,0.496
MAC000018,0.547
MAC000018,0.393
MAC000018,0.664
MAC000018,0.381
MAC000018,0.287
MAC000018,0.263
MAC000018,0.26
MAC000018,0.253
MAC000018,0.257
MAC000018,0.208
MAC000018,0.126
MAC000018,0.127
