LCLid,KWH/hh (per half hour)
MAC000020,0.275
MAC000020,0.231
MAC000020,0.204
MAC000020,0.194
MAC000020,0.317
MAC000020,0.163
MAC000020,0.111
MAC000020,0.295
MAC000020,0.189
MAC000020,0.093
MAC000020,0.095
MAC000020,0.076
MAC000020,0.097
MAC000020,0.2
MAC000020,0.132
MAC000020,0.204
MAC000020,0.241
MAC000020,0.377
MAC000020,0.62
MAC000020,0.271
MAC000020,0.253
MAC000020,0.203
MAC000020,0.228
MAC000020,0.229
MAC000020,0.258
MAC000020,0.272
MAC000020,0.193
MAC000020,0.075
MAC000020,0.057
MAC000020,0.062
MAC000020,0.071
MAC000020,0.051
MAC000020,0.067
MAC000020,0.058
MAC000020,0.058
MAC000020,0.075
MAC000020,0.057
MAC000020,0.049
MAC000020,0.073
MAC000020,0.055
MAC000020,0.06
MAC000020,0.075
MAC000020,0.053
MAC000020,0.081
MAC000020,0.244
MAC000020,0.155
MAC000020,0.164
MAC000020,0.255
MAC000020,0.183
MAC000020,0.312
MAC000020,0.166
MAC000020,0.139
MAC000020,0.084
MAC000020,0.1
MAC000020,0.084
MAC000020,0.085
MAC000020,0.089
MAC000020,0.181
MAC000020,0.144
MAC000020,0.119
MAC000020,0.117
MAC000020,0.086
MAC000020,0.16
MAC000020,0.18
MAC000020,0.15
MAC000020,0.203
MAC000020,0.617
MAC000020,0.24
MAC000020,0.213
MAC000020,0.325
MAC000020,0.239
MAC000020,0.207
MAC000020,0.233
MAC000020,0.201
MAC000020,0.274
MAC000020,0.24
MAC000020,0.196
MAC000020,0.126
MAC000020,0.057
MAC000020,0.065
MAC000020,0.063
MAC000020,0.057
MAC000020,0.074
MAC000020,0.058
MAC000020,0.056
MAC000020,0.063
MAC000020,0.058
MAC000020,0.075
MAC000020,0.061
MAC000020,0.053
MAC000020,0.068
MAC000020,0.083
MAC000020,0.169
MAC000020,0.236
MAC000020,0.234
MAC000020,0.155
MAC000020,0.221
MAC000020,0.108
MAC000020,0.093
MAC000020,0.095
MAC000020,0.079
MAC000020,0.209
MAC000020,0.154
MAC000020,0.277
MAC000020,0.16
MAC000020,0.165
MAC000020,0.214
MAC000020,0.159
MAC000020,0.132
MAC000020,0.159
MAC000020,0.119
MAC000020,0.219
MAC000020,0.234
MAC000020,0.213
MAC000020,0.223
MAC000020,0.111
MAC000020,0.12
MAC000020,0.102
MAC000020,0.112
MAC000020,0.08
MAC000020,0.094
MAC000020,0.09
MAC000020,0.086
MAC000020,0.163
MAC000020,0.182
MAC000020,0.071
MAC000020,0.057
MAC000020,0.055
MAC000020,0.08
MAC000020,0.06
MAC000020,0.07
MAC000020,0.071
MAC000020,0.053
MAC000020,0.073
MAC000020,0.06
MAC000020,0.058
MAC000020,0.081
MAC000020,0.06
MAC000020,0.054
MAC000020,0.106
MAC000020,0.152
MAC000020,0.174
MAC000020,0.242
MAC000020,0.118
MAC000020,0.153
MAC000020,0.109
MAC000020,0.092
MAC000020,0.112
MAC000020,0.096
MAC000020,0.095
MAC000020,0.124
MAC000020,0.425
MAC000020,0.153
MAC000020,0.127
MAC000020,0.135
MAC000020,0.773
MAC000020,0.2
MAC000020,0.183
MAC000020,0.195
MAC000020,0.178
MAC000020,0.23
MAC000020,0.471
MAC000020,0.497
MAC000020,0.327
MAC000020,0.275
MAC000020,0.41
MAC000020,0.298
MAC000020,0.243
MAC000020,0.266
MAC000020,0.257
MAC000020,0.244
MAC000020,0.256
MAC000020,0.144
MAC000020,0.087
MAC000020,0.066
MAC000020,0.055
MAC000020,0.078
MAC000020,0.065
MAC000020,0.062
MAC000020,0.084
MAC000020,0.064
MAC000020,0.055
MAC000020,0.078
MAC000020,0.064
MAC000020,0.062
MAC000020,0.083
MAC000020,0.061
MAC000020,0.087
MAC000020,0.302
MAC000020,0.129
MAC000020,0.099
MAC000020,0.333
MAC000020,0.166
MAC000020,0.42
MAC000020,0.577
MAC000020,0.312
MAC000020,0.183
MAC000020,0.75
MAC000020,0.155
MAC000020,0.23
MAC000020,0.19
MAC000020,0.137
MAC000020,0.105
MAC000020,0.105
MAC000020,0.165
MAC000020,0.094
MAC000020,0.107
MAC000020,0.116
MAC000020,0.101
MAC000020,0.387
MAC000020,1.133
MAC000020,1.064
MAC000020,0.336
MAC000020,0.337
MAC000020,0.229
MAC000020,0.22
MAC000020,0.331
MAC000020,0.283
MAC000020,0.234
MAC000020,0.357
MAC000020,0.072
MAC000020,0.083
MAC000020,0.059
MAC000020,0.079
MAC000020,0.051
MAC000020,0.061
MAC000020,0.082
MAC000020,0.059
MAC000020,0.077
MAC000020,0.063
MAC000020,0.05
MAC000020,0.082
MAC000020,0.062
MAC000020,0.06
MAC000020,0.079
MAC000020,0.08
MAC000020,0.211
MAC000020,0.227
MAC000020,0.158
MAC000020,0.168
MAC000020,0.174
MAC000020,1.151
MAC000020,0.242
MAC000020,0.163
MAC000020,0.144
MAC000020,0.401
MAC000020,0.753
MAC000020,0.681
MAC000020,0.733
MAC000020,0.133
MAC000020,0.228
MAC000020,0.139
MAC000020,0.125
MAC000020,0.235
MAC000020,0.23
MAC000020,0.166
MAC000020,0.277
MAC000020,0.3
MAC000020,0.791
MAC000020,0.175
MAC000020,0.279
MAC000020,0.191
MAC000020,0.16
MAC000020,0.192
MAC000020,0.185
MAC000020,0.226
MAC000020,0.15
MAC000020,0.062
MAC000020,0.074
MAC000020,0.05
MAC000020,0.082
MAC000020,0.062
MAC000020,0.06
MAC000020,0.08
MAC000020,0.055
MAC000020,0.069
MAC000020,0.066
MAC000020,0.062
MAC000020,0.081
MAC000020,0.059
MAC000020,0.053
MAC000020,0.078
MAC000020,0.06
MAC000020,0.095
MAC000020,0.253
MAC000020,0.268
MAC000020,0.135
MAC000020,0.107
MAC000020,0.165
MAC000020,0.226
MAC000020,0.108
MAC000020,0.21
MAC000020,0.18
MAC000020,0.151
MAC000020,0.125
MAC000020,0.121
MAC000020,0.397
MAC000020,0.277
MAC000020,0.241
MAC000020,0.189
MAC000020,0.135
MAC000020,0.118
MAC000020,0.08
MAC000020,0.107
MAC000020,0.132
MAC000020,0.193
MAC000020,0.199
MAC000020,0.216
MAC000020,0.173
MAC000020,0.12
MAC000020,0.1
MAC000020,0.105
MAC000020,0.085
MAC000020,0.082
MAC000020,0.108
MAC000020,0.141
MAC000020,0.091
MAC000020,0.072
MAC000020,0.061
MAC000020,0.069
MAC000020,0.058
MAC000020,0.062
MAC000020,0.08
MAC000020,0.062
MAC000020,0.059
MAC000020,0.08
MAC000020,0.056
MAC000020,0.053
MAC000020,0.085
MAC000020,0.082
