LCLid,KWH/hh (per half hour)
MAC000008,0.197
MAC000008,0.181
MAC000008,0.167
MAC000008,0.259
MAC000008,0.199
MAC000008,0.192
MAC000008,0.184
MAC000008,0.157
MAC000008,0.206
MAC000008,0.253
MAC000008,0.163
MAC000008,0.169
MAC000008,0.178
MAC000008,0.152
MAC000008,0.185
MAC000008,0.172
MAC000008,0.17
MAC000008,0.24
MAC000008,0.281
MAC000008,0.68
MAC000008,0.661
MAC000008,0.567
MAC000008,0.195
MAC000008,0.197
MAC000008,0.19
MAC000008,0.191
MAC000008,0.158
MAC000008,0.175
MAC000008,0.178
MAC000008,0.198
MAC000008,0.319
MAC000008,0.248
MAC000008,0.253
MAC000008,0.203
MAC000008,0.15
MAC000008,0.186
MAC000008,0.248
MAC000008,0.298
MAC000008,0.31
MAC000008,0.499
MAC000008,0.306
MAC000008,0.613
MAC000008,0.31
MAC000008,0.408
MAC000008,0.271
MAC000008,0.208
MAC000008,0.266
MAC000008,0.213
MAC000008,0.177
MAC000008,0.192
MAC000008,0.199
MAC000008,0.194
MAC000008,0.212
MAC000008,0.174
MAC000008,0.186
MAC000008,0.155
MAC000008,0.188
MAC000008,0.172
MAC000008,0.162
MAC000008,0.173
MAC000008,0.179
MAC000008,0.162
MAC000008,0.239
MAC000008,0.464
MAC000008,0.609
MAC000008,0.601
MAC000008,0.821
MAC000008,1.107
MAC000008,0.547
MAC000008,1.131
MAC000008,0.651
MAC000008,1
MAC000008,0.98
MAC000008,0.64
MAC000008,0.574
MAC000008,0.818
MAC000008,0.782
MAC000008,0.83
MAC000008,0.497
MAC000008,0.608
MAC000008,0.96
MAC000008,0.638
MAC000008,0.513
MAC000008,0.525
MAC000008,0.466
MAC000008,0.627
MAC000008,0.682
MAC000008,0.665
MAC000008,0.567
MAC000008,0.337
MAC000008,1.168
MAC000008,0.825
MAC000008,0.469
MAC000008,0.454
MAC000008,0.407
MAC000008,0.432
MAC000008,0.423
MAC000008,0.421
MAC000008,0.462
MAC000008,0.403
MAC000008,0.407
MAC000008,0.373
MAC000008,0.437
MAC000008,0.552
MAC000008,0.436
MAC000008,0.386
MAC000008,0.391
MAC000008,0.402
MAC000008,0.362
MAC000008,0.305
MAC000008,0.193
MAC000008,0.204
MAC000008,0.201
MAC000008,0.154
MAC000008,0.264
MAC000008,0.253
MAC000008,0.535
MAC000008,0.309
MAC000008,0.867
MAC000008,0.171
MAC000008,0.135
MAC000008,0.146
MAC000008,0.152
MAC000008,0.277
MAC000008,0.232
MAC000008,0.198
MAC000008,0.181
